index	Chrs	start	end	number	genome
131	Chr01	76300000	76400000	4	A
132	Chr01	88500000	88600000	0	A
133	Chr01	99250000	99350000	3	A
134	Chr01	101200000	101300000	1	A
135	Chr01	108400000	108500000	5	A
136	Chr01	110650000	110750000	11	A
137	Chr01	111150000	111250000	7	A
138	Chr01	111700000	111800000	9	A
139	Chr01	119950000	120050000	9	A
140	Chr02	75400000	75500000	1	A
141	Chr02	950000	1050000	12	A
142	Chr02	5150000	5250000	4	A
143	Chr02	23000000	23100000	2	A
144	Chr02	26200000	26300000	3	A
145	Chr02	59700000	59800000	4	A
146	Chr02	68100000	68200000	5	A
147	Chr02	81750000	81850000	0	A
148	Chr02	82750000	82850000	1	A
149	Chr02	86950000	87050000	3	A
150	Chr02	108000000	108100000	7	A
151	Chr02	111100000	111200000	6	A
152	Chr02	1800000	1900000	12	A
153	Chr02	2550000	2650000	10	A
154	Chr02	3350000	3450000	14	A
155	Chr02	4750000	4850000	6	A
156	Chr02	12000000	12100000	0	A
157	Chr02	12800000	12900000	1	A
158	Chr02	13450000	13550000	3	A
159	Chr02	14000000	14100000	5	A
160	Chr02	16350000	16450000	1	A
161	Chr02	19700000	19800000	0	A
162	Chr02	20350000	20450000	0	A
163	Chr02	22100000	22200000	1	A
164	Chr02	24200000	24300000	1	A
165	Chr02	24700000	24800000	1	A
166	Chr02	26650000	26750000	2	A
167	Chr02	27900000	28000000	1	A
168	Chr02	28400000	28500000	1	A
169	Chr02	28900000	29000000	2	A
170	Chr02	32600000	32700000	1	A
171	Chr02	34000000	34100000	1	A
172	Chr02	34650000	34750000	0	A
173	Chr02	35250000	35350000	1	A
174	Chr02	37150000	37250000	1	A
175	Chr02	38450000	38550000	1	A
176	Chr02	39250000	39350000	0	A
177	Chr02	42150000	42250000	2	A
178	Chr02	47250000	47350000	0	A
179	Chr02	48100000	48200000	1	A
180	Chr02	49500000	49600000	1	A
181	Chr02	50450000	50550000	0	A
182	Chr02	50800000	50900000	2	A
183	Chr02	51200000	51300000	0	A
184	Chr02	52100000	52200000	0	A
185	Chr02	54250000	54350000	1	A
186	Chr02	54600000	54700000	1	A
187	Chr02	56950000	57050000	0	A
188	Chr02	59100000	59200000	1	A
189	Chr02	60650000	60750000	2	A
190	Chr02	63100000	63200000	0	A
191	Chr02	64050000	64150000	2	A
192	Chr02	64550000	64650000	2	A
193	Chr02	65450000	65550000	5	A
194	Chr02	66500000	66600000	2	A
195	Chr02	68550000	68650000	5	A
196	Chr02	68750000	68850000	2	A
197	Chr02	69700000	69800000	1	A
198	Chr02	72850000	72950000	4	A
199	Chr02	73900000	74000000	3	A
200	Chr02	78950000	79050000	0	A
201	Chr02	79250000	79350000	2	A
202	Chr02	80950000	81050000	1	A
203	Chr02	81450000	81550000	1	A
204	Chr02	85500000	85600000	0	A
205	Chr02	87750000	87850000	0	A
206	Chr02	89650000	89750000	0	A
207	Chr02	91750000	91850000	1	A
208	Chr02	92650000	92750000	2	A
209	Chr02	96950000	97050000	5	A
210	Chr02	99350000	99450000	4	A
211	Chr02	99800000	99900000	3	A
212	Chr02	101150000	101250000	3	A
213	Chr02	101950000	102050000	4	A
214	Chr02	103100000	103200000	7	A
215	Chr02	103600000	103700000	8	A
216	Chr02	104550000	104650000	9	A
217	Chr02	104900000	105000000	7	A
218	Chr02	105450000	105550000	8	A
219	Chr02	108600000	108700000	3	A
220	Chr02	109350000	109450000	9	A
221	Chr02	109750000	109850000	3	A
222	Chr02	110800000	110900000	8	A
223	Chr02	112550000	112650000	3	A
224	Chr02	113600000	113700000	13	A
225	Chr02	115050000	115150000	11	A
226	Chr02	0	50000	7	A
227	Chr02	2900000	3000000	11	A
228	Chr02	4350000	4450000	9	A
229	Chr02	5900000	6000000	6	A
230	Chr02	6950000	7050000	2	A
231	Chr02	7500000	7600000	5	A
232	Chr02	7750000	7850000	4	A
233	Chr02	9050000	9150000	2	A
234	Chr02	10250000	10350000	2	A
235	Chr02	10900000	11000000	3	A
236	Chr02	14550000	14650000	3	A
237	Chr02	15600000	15700000	2	A
238	Chr02	18750000	18850000	0	A
239	Chr02	21000000	21100000	1	A
240	Chr02	21500000	21600000	2	A
241	Chr02	23600000	23700000	3	A
242	Chr02	25300000	25400000	4	A
243	Chr02	25700000	25800000	2	A
244	Chr02	27550000	27650000	3	A
245	Chr02	29500000	29600000	2	A
246	Chr02	30300000	30400000	5	A
247	Chr02	32250000	32350000	0	A
248	Chr02	33050000	33150000	0	A
249	Chr02	35800000	35900000	1	A
250	Chr02	37750000	37850000	3	A
251	Chr02	38800000	38900000	1	A
252	Chr02	40400000	40500000	1	A
253	Chr02	40900000	41000000	2	A
254	Chr02	44200000	44300000	0	A
255	Chr02	53350000	53450000	3	A
256	Chr02	57950000	58050000	0	A
257	Chr02	66200000	66300000	0	A
258	Chr02	72250000	72350000	0	A
259	Chr02	77100000	77200000	2	A
260	Chr02	80350000	80450000	2	A
261	Chr02	83650000	83750000	0	A
262	Chr02	86250000	86350000	3	A
263	Chr02	95700000	95800000	0	A
264	Chr02	96500000	96600000	4	A
265	Chr02	98850000	98950000	2	A
266	Chr02	102250000	102350000	0	A
267	Chr02	112200000	112300000	14	A
268	Chr02	113000000	113100000	8	A
269	Chr03	8300000	8400000	6	A
270	Chr03	75450000	75550000	0	A
271	Chr03	2000000	2100000	12	A
272	Chr03	9350000	9450000	5	A
273	Chr03	15650000	15750000	7	A
274	Chr03	19850000	19950000	3	A
275	Chr03	23050000	23150000	4	A
276	Chr03	44000000	44100000	3	A
277	Chr03	57600000	57700000	4	A
278	Chr03	61800000	61900000	0	A
279	Chr03	118450000	118550000	2	A
280	Chr03	123650000	123750000	3	A
281	Chr03	132050000	132150000	10	A
282	Chr03	3600000	3700000	11	A
283	Chr03	4050000	4150000	10	A
284	Chr03	5350000	5450000	15	A
285	Chr03	6900000	7000000	15	A
286	Chr03	7700000	7800000	6	A
287	Chr03	8650000	8750000	6	A
288	Chr03	13050000	13150000	5	A
289	Chr03	13700000	13800000	4	A
290	Chr03	15000000	15100000	6	A
291	Chr03	15300000	15400000	6	A
292	Chr03	16200000	16300000	4	A
293	Chr03	17900000	18000000	5	A
294	Chr03	18400000	18500000	2	A
295	Chr03	19350000	19450000	2	A
296	Chr03	20650000	20750000	9	A
297	Chr03	21850000	21950000	4	A
298	Chr03	23300000	23400000	2	A
299	Chr03	24700000	24800000	4	A
300	Chr03	25900000	26000000	3	A
301	Chr03	26800000	26900000	3	A
302	Chr03	27600000	27700000	4	A
303	Chr03	28100000	28200000	2	A
304	Chr03	30000000	30100000	4	A
305	Chr03	30750000	30850000	1	A
306	Chr03	31250000	31350000	2	A
307	Chr03	32100000	32200000	4	A
308	Chr03	32750000	32850000	0	A
309	Chr03	34450000	34550000	0	A
310	Chr03	36300000	36400000	2	A
311	Chr03	36900000	37000000	5	A
312	Chr03	38400000	38500000	3	A
313	Chr03	39000000	39100000	3	A
314	Chr03	40150000	40250000	3	A
315	Chr03	41800000	41900000	3	A
316	Chr03	42450000	42550000	4	A
317	Chr03	44350000	44450000	1	A
318	Chr03	45550000	45650000	8	A
319	Chr03	46600000	46700000	4	A
320	Chr03	49600000	49700000	0	A
321	Chr03	50650000	50750000	1	A
322	Chr03	52800000	52900000	0	A
323	Chr03	55150000	55250000	0	A
324	Chr03	56200000	56300000	1	A
325	Chr03	57100000	57200000	0	A
326	Chr03	58300000	58400000	6	A
327	Chr03	61450000	61550000	1	A
328	Chr03	64350000	64450000	3	A
329	Chr03	65250000	65350000	1	A
330	Chr03	66400000	66500000	4	A
331	Chr03	66800000	66900000	0	A
332	Chr03	68000000	68100000	3	A
333	Chr03	69050000	69150000	0	A
334	Chr03	70050000	70150000	4	A
335	Chr03	70550000	70650000	5	A
336	Chr03	71550000	71650000	1	A
337	Chr03	78950000	79050000	1	A
338	Chr03	82000000	82100000	3	A
339	Chr03	82650000	82750000	1	A
340	Chr03	82950000	83050000	1	A
341	Chr03	85400000	85500000	2	A
342	Chr03	86550000	86650000	1	A
343	Chr03	87350000	87450000	1	A
344	Chr03	91350000	91450000	3	A
345	Chr03	91700000	91800000	4	A
346	Chr03	92500000	92600000	3	A
347	Chr03	93500000	93600000	5	A
348	Chr03	94200000	94300000	2	A
349	Chr03	94750000	94850000	3	A
350	Chr03	96300000	96400000	0	A
351	Chr03	98950000	99050000	0	A
352	Chr03	103000000	103100000	1	A
353	Chr03	103350000	103450000	2	A
354	Chr03	104400000	104500000	1	A
355	Chr03	105350000	105450000	4	A
356	Chr03	105700000	105800000	0	A
357	Chr03	106250000	106350000	5	A
358	Chr03	107000000	107100000	2	A
359	Chr03	107450000	107550000	3	A
360	Chr03	109100000	109200000	2	A
361	Chr03	110600000	110700000	2	A
362	Chr03	111600000	111700000	1	A
363	Chr03	113850000	113950000	2	A
364	Chr03	115950000	116050000	6	A
365	Chr03	116600000	116700000	4	A
366	Chr03	120800000	120900000	3	A
367	Chr03	122150000	122250000	3	A
368	Chr03	122550000	122650000	2	A
369	Chr03	124300000	124400000	1	A
370	Chr03	125350000	125450000	4	A
371	Chr03	125950000	126050000	2	A
372	Chr03	126350000	126450000	5	A
373	Chr03	127050000	127150000	4	A
374	Chr03	127700000	127800000	7	A
375	Chr03	128700000	128800000	10	A
376	Chr03	129050000	129150000	5	A
377	Chr03	129450000	129550000	5	A
378	Chr03	130200000	130300000	8	A
379	Chr03	130750000	130850000	12	A
380	Chr03	133750000	133850000	8	A
381	Chr03	134250000	134350000	9	A
382	Chr03	134650000	134750000	9	A
383	Chr03	135300000	135400000	10	A
384	Chr03	138500000	138600000	14	A
385	Chr03	139100000	139200000	18	A
386	Chr03	0	50000	6	A
387	Chr03	4350000	4450000	12	A
388	Chr03	4850000	4950000	6	A
389	Chr03	5900000	6000000	12	A
390	Chr03	9850000	9950000	4	A
391	Chr03	12200000	12300000	9	A
392	Chr03	14700000	14800000	6	A
393	Chr03	17050000	17150000	1	A
394	Chr03	17450000	17550000	5	A
395	Chr03	21250000	21350000	0	A
396	Chr03	24250000	24350000	2	A
397	Chr03	26500000	26600000	1	A
398	Chr03	28600000	28700000	1	A
399	Chr03	49950000	50050000	1	A
400	Chr03	51000000	51100000	1	A
401	Chr03	56650000	56750000	4	A
402	Chr03	63600000	63700000	1	A
403	Chr03	72750000	72850000	2	A
404	Chr03	74200000	74300000	1	A
405	Chr03	77100000	77200000	6	A
406	Chr03	78000000	78100000	2	A
407	Chr03	79450000	79550000	1	A
408	Chr03	90050000	90150000	0	A
409	Chr03	97650000	97750000	2	A
410	Chr03	101200000	101300000	1	A
411	Chr03	104750000	104850000	2	A
412	Chr03	108150000	108250000	1	A
413	Chr03	112200000	112300000	1	A
414	Chr03	117200000	117300000	2	A
415	Chr03	119300000	119400000	0	A
416	Chr03	119800000	119900000	5	A
417	Chr03	121400000	121500000	3	A
418	Chr03	123100000	123200000	0	A
419	Chr03	125700000	125800000	9	A
420	Chr03	131100000	131200000	11	A
421	Chr03	133200000	133300000	10	A
422	Chr04	67100000	67200000	3	A
423	Chr04	4100000	4200000	10	A
424	Chr04	7250000	7350000	8	A
425	Chr04	18850000	18950000	2	A
426	Chr04	56550000	56650000	2	A
427	Chr04	68100000	68200000	0	A
428	Chr04	76500000	76600000	2	A
429	Chr04	78600000	78700000	0	A
430	Chr04	79650000	79750000	4	A
431	Chr04	115250000	115350000	10	A
432	Chr04	119500000	119600000	14	A
433	Chr04	350000	450000	10	A
434	Chr04	850000	950000	11	A
435	Chr04	1650000	1750000	11	A
436	Chr04	3450000	3550000	6	A
437	Chr04	3800000	3900000	6	A
438	Chr04	4750000	4850000	7	A
439	Chr04	5850000	5950000	4	A
440	Chr04	6750000	6850000	5	A
441	Chr04	8200000	8300000	1	A
442	Chr04	8650000	8750000	6	A
443	Chr04	9300000	9400000	10	A
444	Chr04	9750000	9850000	8	A
445	Chr04	11200000	11300000	4	A
446	Chr04	11600000	11700000	6	A
447	Chr04	12700000	12800000	10	A
448	Chr04	13850000	13950000	3	A
449	Chr04	14100000	14200000	5	A
450	Chr04	15200000	15300000	6	A
451	Chr04	16250000	16350000	3	A
452	Chr04	17250000	17350000	3	A
453	Chr04	18200000	18300000	2	A
454	Chr04	19500000	19600000	8	A
455	Chr04	20750000	20850000	0	A
456	Chr04	22150000	22250000	5	A
457	Chr04	23700000	23800000	3	A
458	Chr04	24750000	24850000	5	A
459	Chr04	27350000	27450000	2	A
460	Chr04	27750000	27850000	1	A
461	Chr04	30750000	30850000	0	A
462	Chr04	33400000	33500000	0	A
463	Chr04	34450000	34550000	1	A
464	Chr04	34800000	34900000	2	A
465	Chr04	35750000	35850000	2	A
466	Chr04	36800000	36900000	3	A
467	Chr04	38450000	38550000	2	A
468	Chr04	41250000	41350000	1	A
469	Chr04	43350000	43450000	0	A
470	Chr04	43900000	44000000	0	A
471	Chr04	44500000	44600000	1	A
472	Chr04	45450000	45550000	1	A
473	Chr04	46300000	46400000	2	A
474	Chr04	47550000	47650000	0	A
475	Chr04	48600000	48700000	0	A
476	Chr04	50550000	50650000	1	A
477	Chr04	52900000	53000000	2	A
478	Chr04	53800000	53900000	0	A
479	Chr04	55350000	55450000	0	A
480	Chr04	56050000	56150000	3	A
481	Chr04	57350000	57450000	0	A
482	Chr04	61000000	61100000	0	A
483	Chr04	61650000	61750000	1	A
484	Chr04	62350000	62450000	1	A
485	Chr04	64400000	64500000	0	A
486	Chr04	65400000	65500000	1	A
487	Chr04	66300000	66400000	0	A
488	Chr04	70300000	70400000	0	A
489	Chr04	72800000	72900000	5	A
490	Chr04	73050000	73150000	0	A
491	Chr04	76000000	76100000	0	A
492	Chr04	79250000	79350000	3	A
493	Chr04	80300000	80400000	3	A
494	Chr04	81500000	81600000	0	A
495	Chr04	82900000	83000000	3	A
496	Chr04	87550000	87650000	1	A
497	Chr04	90650000	90750000	1	A
498	Chr04	91050000	91150000	1	A
499	Chr04	91950000	92050000	0	A
500	Chr04	92450000	92550000	5	A
501	Chr04	93450000	93550000	1	A
502	Chr04	94100000	94200000	0	A
503	Chr04	95800000	95900000	2	A
504	Chr04	96200000	96300000	3	A
505	Chr04	97050000	97150000	5	A
506	Chr04	97850000	97950000	3	A
507	Chr04	98600000	98700000	3	A
508	Chr04	99650000	99750000	2	A
509	Chr04	100700000	100800000	8	A
510	Chr04	101950000	102050000	4	A
511	Chr04	104950000	105050000	2	A
512	Chr04	105700000	105800000	3	A
513	Chr04	106000000	106100000	5	A
514	Chr04	106750000	106850000	6	A
515	Chr04	109150000	109250000	2	A
516	Chr04	109400000	109500000	5	A
517	Chr04	109750000	109850000	5	A
518	Chr04	110150000	110250000	3	A
519	Chr04	110700000	110800000	4	A
520	Chr04	111650000	111750000	9	A
521	Chr04	112900000	113000000	4	A
522	Chr04	113350000	113450000	6	A
523	Chr04	113900000	114000000	6	A
524	Chr04	114550000	114650000	2	A
525	Chr04	114900000	115000000	6	A
526	Chr04	116500000	116600000	10	A
527	Chr04	117300000	117400000	12	A
528	Chr04	118150000	118250000	14	A
529	Chr04	120750000	120850000	14	A
530	Chr04	121350000	121450000	13	A
531	Chr04	122400000	122500000	14	A
532	Chr04	0	50000	8	A
533	Chr04	2100000	2200000	10	A
534	Chr04	2500000	2600000	6	A
535	Chr04	5250000	5350000	6	A
536	Chr04	7750000	7850000	6	A
537	Chr04	10100000	10200000	8	A
538	Chr04	10900000	11000000	8	A
539	Chr04	12200000	12300000	4	A
540	Chr04	13250000	13350000	7	A
541	Chr04	16800000	16900000	4	A
542	Chr04	21000000	21100000	3	A
543	Chr04	24400000	24500000	6	A
544	Chr04	25300000	25400000	6	A
545	Chr04	26500000	26600000	0	A
546	Chr04	32400000	32500000	0	A
547	Chr04	40250000	40350000	2	A
548	Chr04	52300000	52400000	2	A
549	Chr04	60450000	60550000	2	A
550	Chr04	71700000	71800000	0	A
551	Chr04	73800000	73900000	1	A
552	Chr04	81150000	81250000	3	A
553	Chr04	83650000	83750000	0	A
554	Chr04	85750000	85850000	2	A
555	Chr04	90200000	90300000	2	A
556	Chr04	97400000	97500000	7	A
557	Chr04	99100000	99200000	1	A
558	Chr04	103050000	103150000	4	A
559	Chr04	107100000	107200000	7	A
560	Chr04	107750000	107850000	10	A
561	Chr04	111150000	111250000	10	A
562	Chr04	116150000	116250000	11	A
563	Chr04	118500000	118600000	13	A
564	Chr04	119150000	119250000	18	A
565	Chr04	121900000	122000000	13	A
566	Chr05	50300000	50400000	1	A
567	Chr05	2000000	2100000	15	A
568	Chr05	5200000	5300000	17	A
569	Chr05	6250000	6350000	13	A
570	Chr05	23050000	23150000	2	A
571	Chr05	30400000	30500000	4	A
572	Chr05	34600000	34700000	9	A
573	Chr05	48150000	48250000	1	A
574	Chr05	53400000	53500000	1	A
575	Chr05	55500000	55600000	1	A
576	Chr05	57600000	57700000	1	A
577	Chr05	60800000	60900000	2	A
578	Chr05	89100000	89200000	2	A
579	Chr05	3350000	3450000	10	A
580	Chr05	5600000	5700000	14	A
581	Chr05	6000000	6100000	14	A
582	Chr05	7050000	7150000	15	A
583	Chr05	10350000	10450000	14	A
584	Chr05	10850000	10950000	15	A
585	Chr05	14800000	14900000	16	A
586	Chr05	15450000	15550000	15	A
587	Chr05	16050000	16150000	13	A
588	Chr05	16450000	16550000	10	A
589	Chr05	19000000	19100000	17	A
590	Chr05	20300000	20400000	10	A
591	Chr05	21850000	21950000	11	A
592	Chr05	24350000	24450000	9	A
593	Chr05	26650000	26750000	8	A
594	Chr05	27300000	27400000	11	A
595	Chr05	28350000	28450000	7	A
596	Chr05	29000000	29100000	8	A
597	Chr05	29550000	29650000	6	A
598	Chr05	29800000	29900000	12	A
599	Chr05	32600000	32700000	12	A
600	Chr05	33350000	33450000	10	A
601	Chr05	35250000	35350000	5	A
602	Chr05	35750000	35850000	6	A
603	Chr05	36900000	37000000	6	A
604	Chr05	37400000	37500000	6	A
605	Chr05	38050000	38150000	5	A
606	Chr05	41350000	41450000	2	A
607	Chr05	41750000	41850000	4	A
608	Chr05	42250000	42350000	3	A
609	Chr05	42650000	42750000	3	A
610	Chr05	42850000	42950000	4	A
611	Chr05	43300000	43400000	2	A
612	Chr05	45700000	45800000	3	A
613	Chr05	49750000	49850000	2	A
614	Chr05	51050000	51150000	3	A
615	Chr05	53050000	53150000	3	A
616	Chr05	54600000	54700000	0	A
617	Chr05	56150000	56250000	3	A
618	Chr05	58050000	58150000	2	A
619	Chr05	59950000	60050000	0	A
620	Chr05	62450000	62550000	4	A
621	Chr05	63250000	63350000	3	A
622	Chr05	63750000	63850000	1	A
623	Chr05	65250000	65350000	3	A
624	Chr05	67800000	67900000	5	A
625	Chr05	69700000	69800000	2	A
626	Chr05	71500000	71600000	3	A
627	Chr05	72450000	72550000	0	A
628	Chr05	74050000	74150000	1	A
629	Chr05	76200000	76300000	1	A
630	Chr05	77400000	77500000	4	A
631	Chr05	78350000	78450000	1	A
632	Chr05	79000000	79100000	6	A
633	Chr05	79400000	79500000	6	A
634	Chr05	80050000	80150000	7	A
635	Chr05	80950000	81050000	3	A
636	Chr05	81450000	81550000	2	A
637	Chr05	82050000	82150000	5	A
638	Chr05	84000000	84100000	8	A
639	Chr05	85400000	85500000	2	A
640	Chr05	86050000	86150000	6	A
641	Chr05	86450000	86550000	7	A
642	Chr05	87850000	87950000	10	A
643	Chr05	89300000	89400000	11	A
644	Chr05	90000000	90100000	5	A
645	Chr05	90750000	90850000	5	A
646	Chr05	91000000	91100000	7	A
647	Chr05	91350000	91450000	7	A
648	Chr05	92000000	92100000	9	A
649	Chr05	92450000	92550000	9	A
650	Chr05	93050000	93150000	13	A
651	Chr05	0	50000	0	A
652	Chr05	400000	500000	9	A
653	Chr05	2900000	3000000	15	A
654	Chr05	3950000	4050000	16	A
655	Chr05	11300000	11400000	12	A
656	Chr05	18250000	18350000	9	A
657	Chr05	25050000	25150000	13	A
658	Chr05	25850000	25950000	8	A
659	Chr05	39200000	39300000	3	A
660	Chr05	40400000	40500000	4	A
661	Chr05	43650000	43750000	5	A
662	Chr05	45250000	45350000	2	A
663	Chr05	47200000	47300000	3	A
664	Chr05	52300000	52400000	0	A
665	Chr05	68700000	68800000	1	A
666	Chr05	73300000	73400000	0	A
667	Chr05	74850000	74950000	2	A
668	Chr05	82850000	82950000	10	A
669	Chr05	88100000	88200000	4	A
670	Chr06	109000000	109100000	3	A
671	Chr06	12500000	12600000	8	A
672	Chr06	13600000	13700000	7	A
673	Chr06	18850000	18950000	3	A
674	Chr06	22000000	22100000	4	A
675	Chr06	42900000	43000000	4	A
676	Chr06	45000000	45100000	1	A
677	Chr06	94300000	94400000	1	A
678	Chr06	99550000	99650000	1	A
679	Chr06	108000000	108100000	3	A
680	Chr06	112150000	112250000	7	A
681	Chr06	126800000	126900000	2	A
682	Chr06	131050000	131150000	8	A
683	Chr06	132050000	132150000	7	A
684	Chr06	1650000	1750000	11	A
685	Chr06	3800000	3900000	7	A
686	Chr06	4250000	4350000	7	A
687	Chr06	4800000	4900000	7	A
688	Chr06	5350000	5450000	8	A
689	Chr06	5950000	6050000	10	A
690	Chr06	6350000	6450000	9	A
691	Chr06	8250000	8350000	8	A
692	Chr06	9000000	9100000	6	A
693	Chr06	9500000	9600000	5	A
694	Chr06	9900000	10000000	5	A
695	Chr06	10800000	10900000	7	A
696	Chr06	11650000	11750000	10	A
697	Chr06	13100000	13200000	4	A
698	Chr06	15050000	15150000	6	A
699	Chr06	16550000	16650000	1	A
700	Chr06	17100000	17200000	0	A
701	Chr06	18150000	18250000	4	A
702	Chr06	19450000	19550000	2	A
703	Chr06	20300000	20400000	5	A
704	Chr06	23150000	23250000	8	A
705	Chr06	23400000	23500000	6	A
706	Chr06	24950000	25050000	0	A
707	Chr06	26000000	26100000	2	A
708	Chr06	28500000	28600000	1	A
709	Chr06	30200000	30300000	2	A
710	Chr06	31300000	31400000	2	A
711	Chr06	31650000	31750000	2	A
712	Chr06	32150000	32250000	1	A
713	Chr06	34900000	35000000	2	A
714	Chr06	36250000	36350000	2	A
715	Chr06	36900000	37000000	3	A
716	Chr06	37600000	37700000	2	A
717	Chr06	40350000	40450000	0	A
718	Chr06	41400000	41500000	2	A
719	Chr06	42300000	42400000	4	A
720	Chr06	43700000	43800000	1	A
721	Chr06	44150000	44250000	3	A
722	Chr06	44500000	44600000	0	A
723	Chr06	45450000	45550000	1	A
724	Chr06	45950000	46050000	3	A
725	Chr06	48750000	48850000	2	A
726	Chr06	49500000	49600000	2	A
727	Chr06	51500000	51600000	0	A
728	Chr06	52900000	53000000	0	A
729	Chr06	53550000	53650000	3	A
730	Chr06	54100000	54200000	2	A
731	Chr06	54750000	54850000	1	A
732	Chr06	56000000	56100000	1	A
733	Chr06	56750000	56850000	3	A
734	Chr06	57350000	57450000	3	A
735	Chr06	58500000	58600000	0	A
736	Chr06	59350000	59450000	0	A
