line	Chrs	start	end	TEcoverage	type	genome
181	Chr02	50450000	50550000	0.6795300	specific	A
182	Chr02	50800000	50900000	0.7492800	specific	A
183	Chr02	51200000	51300000	0.8306200	conserved	A
184	Chr02	52100000	52200000	0.7647500	specific	A
185	Chr02	54250000	54350000	0.8660500	conserved	A
186	Chr02	54600000	54700000	0.6585400	specific	A
187	Chr02	56950000	57050000	0.8188500	conserved	A
188	Chr02	59100000	59200000	0.7518800	specific	A
189	Chr02	60650000	60750000	0.6920600	specific	A
190	Chr02	63100000	63200000	0.9079400	conserved	A
191	Chr02	64050000	64150000	0.5837500	conserved	A
192	Chr02	64550000	64650000	0.6261200	conserved	A
193	Chr02	65450000	65550000	0.6649600	conserved	A
194	Chr02	66500000	66600000	0.7058800	conserved	A
195	Chr02	68550000	68650000	0.5226800	conserved	A
196	Chr02	68750000	68850000	0.7522300	specific	A
197	Chr02	69700000	69800000	0.8701500	specific	A
198	Chr02	72850000	72950000	0.5819100	conserved	A
199	Chr02	73900000	74000000	0.6876500	specific	A
200	Chr02	78950000	79050000	0.8416400	specific	A
201	Chr02	79250000	79350000	0.6753000	conserved	A
202	Chr02	80950000	81050000	0.7730300	specific	A
203	Chr02	81450000	81550000	0.6420600	specific	A
204	Chr02	85500000	85600000	0.8046200	specific	A
205	Chr02	87750000	87850000	0.8669900	specific	A
206	Chr02	89650000	89750000	0.7903200	specific	A
207	Chr02	91750000	91850000	0.6722900	specific	A
208	Chr02	92650000	92750000	0.7010100	conserved	A
209	Chr02	96950000	97050000	0.7068400	conserved	A
210	Chr02	99350000	99450000	0.5161600	conserved	A
211	Chr02	99800000	99900000	0.7377000	specific	A
212	Chr02	101150000	101250000	0.7100300	conserved	A
213	Chr02	101950000	102050000	0.6241100	specific	A
214	Chr02	103100000	103200000	0.5130300	conserved	A
215	Chr02	103600000	103700000	0.5187100	conserved	A
216	Chr02	104550000	104650000	0.3883200	conserved	A
217	Chr02	104900000	105000000	0.4824900	conserved	A
218	Chr02	105450000	105550000	0.5611900	conserved	A
219	Chr02	108600000	108700000	0.6555500	conserved	A
220	Chr02	109350000	109450000	0.5158400	conserved	A
221	Chr02	109750000	109850000	0.5666500	conserved	A
222	Chr02	110800000	110900000	0.4400900	conserved	A
223	Chr02	112550000	112650000	0.7158000	specific	A
224	Chr02	113600000	113700000	0.3086400	conserved	A
225	Chr02	115050000	115150000	0.2613000	conserved	A
226	Chr02	0	50000	0.1588400	conserved	A
227	Chr02	2900000	3000000	0.2639900	specific	A
228	Chr02	4350000	4450000	0.4368200	conserved	A
229	Chr02	5900000	6000000	0.5710000	conserved	A
230	Chr02	6950000	7050000	0.5264100	conserved	A
231	Chr02	7500000	7600000	0.4997000	conserved	A
232	Chr02	7750000	7850000	0.4501100	specific	A
233	Chr02	9050000	9150000	0.6896500	conserved	A
234	Chr02	10250000	10350000	0.6083400	conserved	A
235	Chr02	10900000	11000000	0.6179600	conserved	A
236	Chr02	14550000	14650000	0.6988800	specific	A
237	Chr02	15600000	15700000	0.8508000	conserved	A
238	Chr02	18750000	18850000	0.7553300	conserved	A
239	Chr02	21000000	21100000	0.7393000	specific	A
240	Chr02	21500000	21600000	0.6764400	specific	A
241	Chr02	23600000	23700000	0.7514200	specific	A
242	Chr02	25300000	25400000	0.6236800	conserved	A
243	Chr02	25700000	25800000	0.6866300	conserved	A
244	Chr02	27550000	27650000	0.7861600	conserved	A
245	Chr02	29500000	29600000	0.6497200	conserved	A
246	Chr02	30300000	30400000	0.6721400	conserved	A
247	Chr02	32250000	32350000	0.8693900	specific	A
248	Chr02	33050000	33150000	0.7454400	conserved	A
249	Chr02	35800000	35900000	0.7755100	specific	A
250	Chr02	37750000	37850000	0.6823200	specific	A
251	Chr02	38800000	38900000	0.6206700	conserved	A
252	Chr02	40400000	40500000	0.7413500	conserved	A
253	Chr02	40900000	41000000	0.7564400	conserved	A
254	Chr02	44200000	44300000	0.7882900	specific	A
255	Chr02	53350000	53450000	0.8237200	specific	A
256	Chr02	57950000	58050000	0.7537400	conserved	A
257	Chr02	66200000	66300000	0.6583300	conserved	A
258	Chr02	72250000	72350000	0.8320000	conserved	A
259	Chr02	77100000	77200000	0.7101800	conserved	A
260	Chr02	80350000	80450000	0.8462200	conserved	A
261	Chr02	83650000	83750000	0.9147200	specific	A
262	Chr02	86250000	86350000	0.7798100	specific	A
263	Chr02	95700000	95800000	0.7800100	conserved	A
264	Chr02	96500000	96600000	0.7117400	conserved	A
265	Chr02	98850000	98950000	0.7308700	conserved	A
266	Chr02	102250000	102350000	0.7463000	conserved	A
267	Chr02	112200000	112300000	0.3165100	conserved	A
268	Chr02	113000000	113100000	0.3392400	conserved	A
269	Chr03	8300000	8400000	0.5978900	conserved	A
270	Chr03	75450000	75550000	0.7810600	specific	A
271	Chr03	2000000	2100000	0.3914200	conserved	A
272	Chr03	9350000	9450000	0.7110000	specific	A
273	Chr03	15650000	15750000	0.6179000	conserved	A
274	Chr03	19850000	19950000	0.6580900	specific	A
275	Chr03	23050000	23150000	0.5923800	conserved	A
276	Chr03	44000000	44100000	0.8750200	specific	A
277	Chr03	57600000	57700000	0.7178500	conserved	A
278	Chr03	61800000	61900000	0.7773700	specific	A
279	Chr03	118450000	118550000	0.6979900	conserved	A
280	Chr03	123650000	123750000	0.7033000	conserved	A
281	Chr03	132050000	132150000	0.3352200	conserved	A
282	Chr03	3600000	3700000	0.2335400	conserved	A
283	Chr03	4050000	4150000	0.3625200	conserved	A
284	Chr03	5350000	5450000	0.2504100	conserved	A
285	Chr03	6900000	7000000	0.3534300	conserved	A
286	Chr03	7700000	7800000	0.4453000	conserved	A
287	Chr03	8650000	8750000	0.5080100	conserved	A
288	Chr03	13050000	13150000	0.5350400	specific	A
289	Chr03	13700000	13800000	0.6609600	conserved	A
290	Chr03	15000000	15100000	0.3572000	conserved	A
291	Chr03	15300000	15400000	0.5362600	conserved	A
292	Chr03	16200000	16300000	0.5233000	specific	A
293	Chr03	17900000	18000000	0.6094200	specific	A
294	Chr03	18400000	18500000	0.6794100	conserved	A
295	Chr03	19350000	19450000	0.6327200	conserved	A
296	Chr03	20650000	20750000	0.4284900	conserved	A
297	Chr03	21850000	21950000	0.6890900	conserved	A
298	Chr03	23300000	23400000	0.7094500	conserved	A
299	Chr03	24700000	24800000	0.6510800	conserved	A
300	Chr03	25900000	26000000	0.7303500	conserved	A
301	Chr03	26800000	26900000	0.6779200	conserved	A
302	Chr03	27600000	27700000	0.6936700	conserved	A
303	Chr03	28100000	28200000	0.6860400	conserved	A
304	Chr03	30000000	30100000	0.6779100	conserved	A
305	Chr03	30750000	30850000	0.6622800	specific	A
306	Chr03	31250000	31350000	0.6540300	conserved	A
307	Chr03	32100000	32200000	0.5952800	conserved	A
308	Chr03	32750000	32850000	0.6301400	conserved	A
309	Chr03	34450000	34550000	0.7993000	conserved	A
310	Chr03	36300000	36400000	0.7267100	conserved	A
311	Chr03	36900000	37000000	0.5516100	conserved	A
312	Chr03	38400000	38500000	0.4806700	conserved	A
313	Chr03	39000000	39100000	0.6338900	conserved	A
314	Chr03	40150000	40250000	0.6681000	specific	A
315	Chr03	41800000	41900000	0.5401000	conserved	A
316	Chr03	42450000	42550000	0.6844400	conserved	A
317	Chr03	44350000	44450000	0.6374100	conserved	A
318	Chr03	45550000	45650000	0.5616600	conserved	A
319	Chr03	46600000	46700000	0.6435200	conserved	A
320	Chr03	49600000	49700000	0.6413200	specific	A
321	Chr03	50650000	50750000	0.6923300	specific	A
322	Chr03	52800000	52900000	0.8034200	specific	A
323	Chr03	55150000	55250000	0.8161500	conserved	A
324	Chr03	56200000	56300000	0.7331100	conserved	A
325	Chr03	57100000	57200000	0.8558300	specific	A
326	Chr03	58300000	58400000	0.6304600	conserved	A
327	Chr03	61450000	61550000	0.7071700	conserved	A
328	Chr03	64350000	64450000	0.5296700	specific	A
329	Chr03	65250000	65350000	0.6573500	conserved	A
330	Chr03	66400000	66500000	0.7405200	specific	A
331	Chr03	66800000	66900000	0.7301600	conserved	A
332	Chr03	68000000	68100000	0.4918900	conserved	A
333	Chr03	69050000	69150000	0.7276600	specific	A
334	Chr03	70050000	70150000	0.7914600	specific	A
335	Chr03	70550000	70650000	0.6719900	conserved	A
336	Chr03	71550000	71650000	0.6756200	conserved	A
337	Chr03	78950000	79050000	0.6962200	specific	A
338	Chr03	82000000	82100000	0.6061800	conserved	A
339	Chr03	82650000	82750000	0.6511600	specific	A
340	Chr03	82950000	83050000	0.5883000	conserved	A
341	Chr03	85400000	85500000	0.7915300	specific	A
342	Chr03	86550000	86650000	0.7224100	specific	A
343	Chr03	87350000	87450000	0.7579400	conserved	A
344	Chr03	91350000	91450000	0.7204600	specific	A
345	Chr03	91700000	91800000	0.6940400	conserved	A
346	Chr03	92500000	92600000	0.7813200	specific	A
347	Chr03	93500000	93600000	0.6113500	conserved	A
348	Chr03	94200000	94300000	0.7147000	conserved	A
349	Chr03	94750000	94850000	0.5874200	conserved	A
350	Chr03	96300000	96400000	0.7247600	specific	A
351	Chr03	98950000	99050000	0.6658700	specific	A
352	Chr03	103000000	103100000	0.7257400	specific	A
353	Chr03	103350000	103450000	0.6452900	conserved	A
354	Chr03	104400000	104500000	0.7276100	conserved	A
355	Chr03	105350000	105450000	0.6568900	conserved	A
356	Chr03	105700000	105800000	0.7295500	conserved	A
357	Chr03	106250000	106350000	0.6280500	conserved	A
358	Chr03	107000000	107100000	0.6876500	specific	A
359	Chr03	107450000	107550000	0.7029200	specific	A
360	Chr03	109100000	109200000	0.6850000	conserved	A
361	Chr03	110600000	110700000	0.6671100	specific	A
362	Chr03	111600000	111700000	0.8726600	conserved	A
363	Chr03	113850000	113950000	0.6075100	specific	A
364	Chr03	115950000	116050000	0.6594600	specific	A
365	Chr03	116600000	116700000	0.6656700	conserved	A
366	Chr03	120800000	120900000	0.7256100	specific	A
367	Chr03	122150000	122250000	0.5341800	specific	A
368	Chr03	122550000	122650000	0.6878900	conserved	A
369	Chr03	124300000	124400000	0.6768000	conserved	A
370	Chr03	125350000	125450000	0.5764500	conserved	A
371	Chr03	125950000	126050000	0.4772300	specific	A
372	Chr03	126350000	126450000	0.6440100	conserved	A
373	Chr03	127050000	127150000	0.4858300	conserved	A
374	Chr03	127700000	127800000	0.3495200	conserved	A
375	Chr03	128700000	128800000	0.4287700	conserved	A
376	Chr03	129050000	129150000	0.5424500	conserved	A
377	Chr03	129450000	129550000	0.5804500	specific	A
378	Chr03	130200000	130300000	0.5189100	conserved	A
379	Chr03	130750000	130850000	0.4848500	conserved	A
380	Chr03	133750000	133850000	0.3802300	conserved	A
381	Chr03	134250000	134350000	0.4636300	conserved	A
382	Chr03	134650000	134750000	0.3399700	conserved	A
383	Chr03	135300000	135400000	0.2347400	conserved	A
384	Chr03	138500000	138600000	0.3235100	conserved	A
385	Chr03	139100000	139200000	0.2428000	conserved	A
386	Chr03	0	50000	0.3379400	conserved	A
387	Chr03	4350000	4450000	0.2911000	conserved	A
388	Chr03	4850000	4950000	0.5248800	conserved	A
389	Chr03	5900000	6000000	0.3854400	conserved	A
390	Chr03	9850000	9950000	0.7500400	conserved	A
391	Chr03	12200000	12300000	0.4812200	conserved	A
392	Chr03	14700000	14800000	0.3941800	conserved	A
393	Chr03	17050000	17150000	0.7434600	conserved	A
394	Chr03	17450000	17550000	0.5076300	conserved	A
395	Chr03	21250000	21350000	0.6725700	conserved	A
396	Chr03	24250000	24350000	0.7714700	conserved	A
397	Chr03	26500000	26600000	0.8713500	specific	A
398	Chr03	28600000	28700000	0.5111600	specific	A
399	Chr03	49950000	50050000	0.6653700	conserved	A
400	Chr03	51000000	51100000	0.8086800	specific	A
401	Chr03	56650000	56750000	0.6398800	specific	A
402	Chr03	63600000	63700000	0.7832400	specific	A
403	Chr03	72750000	72850000	0.7325400	specific	A
404	Chr03	74200000	74300000	0.6941800	specific	A
405	Chr03	77100000	77200000	0.6010100	conserved	A
406	Chr03	78000000	78100000	0.6403400	specific	A
407	Chr03	79450000	79550000	0.7751500	specific	A
408	Chr03	90050000	90150000	0.8508600	specific	A
409	Chr03	97650000	97750000	0.8724700	specific	A
410	Chr03	101200000	101300000	0.8238800	conserved	A
411	Chr03	104750000	104850000	0.5581100	specific	A
412	Chr03	108150000	108250000	0.6045500	specific	A
413	Chr03	112200000	112300000	0.6193900	conserved	A
414	Chr03	117200000	117300000	0.7303200	conserved	A
415	Chr03	119300000	119400000	0.7545400	specific	A
416	Chr03	119800000	119900000	0.4670500	conserved	A
417	Chr03	121400000	121500000	0.5439700	conserved	A
418	Chr03	123100000	123200000	0.6585600	specific	A
419	Chr03	125700000	125800000	0.4915900	conserved	A
420	Chr03	131100000	131200000	0.4698100	conserved	A
421	Chr03	133200000	133300000	0.3568100	conserved	A
422	Chr04	67100000	67200000	0.6325600	specific	A
423	Chr04	4100000	4200000	0.3015800	specific	A
424	Chr04	7250000	7350000	0.3736900	conserved	A
425	Chr04	18850000	18950000	0.7405400	conserved	A
426	Chr04	56550000	56650000	0.7465000	conserved	A
427	Chr04	68100000	68200000	0.7463300	specific	A
428	Chr04	76500000	76600000	0.5886700	conserved	A
429	Chr04	78600000	78700000	0.5834200	specific	A
430	Chr04	79650000	79750000	0.6609800	conserved	A
431	Chr04	115250000	115350000	0.3922400	conserved	A
432	Chr04	119500000	119600000	0.3314000	conserved	A
433	Chr04	350000	450000	0.3491300	specific	A
434	Chr04	850000	950000	0.3639100	conserved	A
435	Chr04	1650000	1750000	0.3680400	conserved	A
436	Chr04	3450000	3550000	0.4339900	specific	A
437	Chr04	3800000	3900000	0.2971100	specific	A
438	Chr04	4750000	4850000	0.6474900	conserved	A
439	Chr04	5850000	5950000	0.4726600	conserved	A
440	Chr04	6750000	6850000	0.4921600	specific	A
441	Chr04	8200000	8300000	0.5310300	specific	A
442	Chr04	8650000	8750000	0.5364600	conserved	A
443	Chr04	9300000	9400000	0.5002000	conserved	A
444	Chr04	9750000	9850000	0.6302800	conserved	A
445	Chr04	11200000	11300000	0.6968600	conserved	A
446	Chr04	11600000	11700000	0.5491300	conserved	A
447	Chr04	12700000	12800000	0.4201800	conserved	A
448	Chr04	13850000	13950000	0.5434300	specific	A
449	Chr04	14100000	14200000	0.4737800	conserved	A
450	Chr04	15200000	15300000	0.6012700	conserved	A
451	Chr04	16250000	16350000	0.8217400	conserved	A
452	Chr04	17250000	17350000	0.6524000	conserved	A
453	Chr04	18200000	18300000	0.6542100	conserved	A
454	Chr04	19500000	19600000	0.4718900	specific	A
455	Chr04	20750000	20850000	0.8242500	specific	A
456	Chr04	22150000	22250000	0.6278600	conserved	A
457	Chr04	23700000	23800000	0.6906600	conserved	A
458	Chr04	24750000	24850000	0.5265100	conserved	A
459	Chr04	27350000	27450000	0.6795300	conserved	A
460	Chr04	27750000	27850000	0.7010700	specific	A
461	Chr04	30750000	30850000	0.8286100	conserved	A
462	Chr04	33400000	33500000	0.8018300	conserved	A
463	Chr04	34450000	34550000	0.7791200	specific	A
464	Chr04	34800000	34900000	0.7529800	conserved	A
465	Chr04	35750000	35850000	0.7364100	conserved	A
466	Chr04	36800000	36900000	0.6176800	conserved	A
467	Chr04	38450000	38550000	0.6651200	conserved	A
468	Chr04	41250000	41350000	0.7337500	conserved	A
469	Chr04	43350000	43450000	0.7370900	specific	A
470	Chr04	43900000	44000000	0.7797200	specific	A
471	Chr04	44500000	44600000	0.8662900	specific	A
472	Chr04	45450000	45550000	0.8066100	specific	A
473	Chr04	46300000	46400000	0.7131700	specific	A
474	Chr04	47550000	47650000	0.8192100	specific	A
475	Chr04	48600000	48700000	0.6631100	specific	A
476	Chr04	50550000	50650000	0.5700000	specific	A
477	Chr04	52900000	53000000	0.7807300	specific	A
478	Chr04	53800000	53900000	0.8571600	specific	A
479	Chr04	55350000	55450000	0.7328700	specific	A
480	Chr04	56050000	56150000	0.6286700	conserved	A
481	Chr04	57350000	57450000	0.6868700	conserved	A
482	Chr04	61000000	61100000	0.7761000	specific	A
483	Chr04	61650000	61750000	0.7976700	conserved	A
484	Chr04	62350000	62450000	0.8981300	specific	A
485	Chr04	64400000	64500000	0.7702700	specific	A
486	Chr04	65400000	65500000	0.7055100	specific	A
487	Chr04	66300000	66400000	0.6685800	conserved	A
488	Chr04	70300000	70400000	0.8410500	conserved	A
489	Chr04	72800000	72900000	0.7325600	specific	A
490	Chr04	73050000	73150000	0.6910700	specific	A
491	Chr04	76000000	76100000	0.7480300	conserved	A
492	Chr04	79250000	79350000	0.7417000	conserved	A
493	Chr04	80300000	80400000	0.6712700	conserved	A
494	Chr04	81500000	81600000	0.7950400	conserved	A
495	Chr04	82900000	83000000	0.6241400	conserved	A
496	Chr04	87550000	87650000	0.6683700	conserved	A
497	Chr04	90650000	90750000	0.6881800	conserved	A
498	Chr04	91050000	91150000	0.5140600	conserved	A
499	Chr04	91950000	92050000	0.8236300	specific	A
500	Chr04	92450000	92550000	0.5172200	conserved	A
501	Chr04	93450000	93550000	0.7569800	conserved	A
502	Chr04	94100000	94200000	0.7669500	conserved	A
503	Chr04	95800000	95900000	0.7752000	conserved	A
504	Chr04	96200000	96300000	0.6211300	conserved	A
505	Chr04	97050000	97150000	0.6309300	conserved	A
506	Chr04	97850000	97950000	0.5691200	conserved	A
507	Chr04	98600000	98700000	0.6923300	conserved	A
508	Chr04	99650000	99750000	0.6471100	conserved	A
509	Chr04	100700000	100800000	0.5847700	conserved	A
510	Chr04	101950000	102050000	0.6452500	conserved	A
511	Chr04	104950000	105050000	0.6905900	conserved	A
512	Chr04	105700000	105800000	0.6079100	conserved	A
513	Chr04	106000000	106100000	0.6682400	conserved	A
514	Chr04	106750000	106850000	0.5766900	conserved	A
515	Chr04	109150000	109250000	0.7274300	conserved	A
516	Chr04	109400000	109500000	0.5858700	conserved	A
517	Chr04	109750000	109850000	0.6908200	conserved	A
518	Chr04	110150000	110250000	0.6681200	conserved	A
519	Chr04	110700000	110800000	0.6038100	conserved	A
520	Chr04	111650000	111750000	0.4297800	specific	A
521	Chr04	112900000	113000000	0.5577000	conserved	A
522	Chr04	113350000	113450000	0.5214900	conserved	A
523	Chr04	113900000	114000000	0.5723400	conserved	A
