line	Chrs	start	end	TEcoverage	genome
61	Chr01	43450000	43550000	0.4817400	D
62	Chr01	44400000	44500000	0.6412000	D
63	Chr01	44950000	45050000	0.4696200	D
64	Chr01	45350000	45450000	0.4441100	D
65	Chr01	45800000	45900000	0.4670800	D
66	Chr01	46850000	46950000	0.3943400	D
67	Chr01	47250000	47350000	0.3552300	D
68	Chr01	47750000	47850000	0.3745700	D
69	Chr01	48450000	48550000	0.3900200	D
70	Chr01	48950000	49050000	0.4244900	D
71	Chr01	49800000	49900000	0.4167100	D
72	Chr01	0	50000	0.5402200	D
73	Chr01	1600000	1700000	0.2474500	D
74	Chr01	6300000	6400000	0.5988800	D
75	Chr01	7500000	7600000	0.5176400	D
76	Chr01	8150000	8250000	0.5020000	D
77	Chr01	16150000	16250000	0.5298800	D
78	Chr01	18750000	18850000	0.6104100	D
79	Chr01	24650000	24750000	0.6972600	D
80	Chr01	26350000	26450000	0.6598600	D
81	Chr01	28600000	28700000	0.5812600	D
82	Chr01	29100000	29200000	0.6415600	D
83	Chr01	32400000	32500000	0.6679500	D
84	Chr01	33300000	33400000	0.6375100	D
85	Chr01	34100000	34200000	0.6911500	D
86	Chr01	36200000	36300000	0.6630300	D
87	Chr01	37750000	37850000	0.6911500	D
88	Chr01	40650000	40750000	0.6372800	D
89	Chr01	40900000	41000000	0.4722600	D
90	Chr01	43650000	43750000	0.4720400	D
91	Chr01	44050000	44150000	0.4316100	D
92	Chr01	44700000	44800000	0.4859600	D
93	Chr01	52300000	52400000	0.2720300	D
94	Chr02	2000000	2100000	0.6446100	D
95	Chr02	6200000	6300000	0.5256400	D
96	Chr02	23000000	23100000	0.7693400	D
97	Chr02	28300000	28400000	0.5565200	D
98	Chr02	29350000	29450000	0.4471900	D
99	Chr02	48150000	48250000	0.2439100	D
100	Chr02	750000	850000	0.2608700	D
101	Chr02	2600000	2700000	0.3289800	D
102	Chr02	3000000	3100000	0.4922800	D
103	Chr02	3400000	3500000	0.3782000	D
104	Chr02	3750000	3850000	0.3691300	D
105	Chr02	4050000	4150000	0.4012900	D
106	Chr02	4550000	4650000	0.4626500	D
107	Chr02	5300000	5400000	0.5100400	D
108	Chr02	5800000	5900000	0.5441200	D
109	Chr02	6800000	6900000	0.7461500	D
110	Chr02	7050000	7150000	0.7987700	D
111	Chr02	7450000	7550000	0.5290600	D
112	Chr02	7850000	7950000	0.5050400	D
113	Chr02	9750000	9850000	0.6053300	D
114	Chr02	10350000	10450000	0.5947500	D
115	Chr02	10700000	10800000	0.6550600	D
116	Chr02	11350000	11450000	0.6208800	D
117	Chr02	11700000	11800000	0.6283100	D
118	Chr02	13350000	13450000	0.5750500	D
119	Chr02	14900000	15000000	0.6098400	D
120	Chr02	15450000	15550000	0.7139600	D
121	Chr02	15950000	16050000	0.6640600	D
122	Chr02	17350000	17450000	0.6736800	D
123	Chr02	17900000	18000000	0.6493800	D
124	Chr02	18550000	18650000	0.7289900	D
125	Chr02	19050000	19150000	0.7645500	D
126	Chr02	19450000	19550000	0.6930500	D
127	Chr02	20550000	20650000	0.6436200	D
128	Chr02	20750000	20850000	0.6489300	D
129	Chr02	21400000	21500000	0.7166100	D
130	Chr02	22150000	22250000	0.7537600	D
131	Chr02	23800000	23900000	0.7328600	D
132	Chr02	24600000	24700000	0.6275500	D
133	Chr02	27100000	27200000	0.5206300	D
134	Chr02	27650000	27750000	0.5964900	D
135	Chr02	29050000	29150000	0.6399100	D
136	Chr02	29550000	29650000	0.6440900	D
137	Chr02	30450000	30550000	0.6190000	D
138	Chr02	31900000	32000000	0.6505200	D
139	Chr02	32550000	32650000	0.5592100	D
140	Chr02	32950000	33050000	0.4605300	D
141	Chr02	33650000	33750000	0.4384900	D
142	Chr02	34850000	34950000	0.5882900	D
143	Chr02	35200000	35300000	0.5307800	D
144	Chr02	35450000	35550000	0.5811400	D
145	Chr02	35850000	35950000	0.4332600	D
146	Chr02	36400000	36500000	0.4870800	D
147	Chr02	36950000	37050000	0.4711200	D
148	Chr02	38650000	38750000	0.5811700	D
149	Chr02	39250000	39350000	0.5057000	D
150	Chr02	39650000	39750000	0.5983500	D
151	Chr02	40300000	40400000	0.7812400	D
152	Chr02	41800000	41900000	0.4536300	D
153	Chr02	42850000	42950000	0.4910900	D
154	Chr02	44950000	45050000	0.4463300	D
155	Chr02	45300000	45400000	0.3443400	D
156	Chr02	46300000	46400000	0.4381200	D
157	Chr02	0	50000	0.5305800	D
158	Chr02	1050000	1150000	0.3736500	D
159	Chr02	1450000	1550000	0.2755100	D
160	Chr02	10100000	10200000	0.5386700	D
161	Chr02	11150000	11250000	0.5948100	D
162	Chr02	12350000	12450000	0.6590500	D
163	Chr02	12850000	12950000	0.5060000	D
164	Chr02	15750000	15850000	0.7444600	D
165	Chr02	16800000	16900000	0.6371000	D
166	Chr02	17200000	17300000	0.4890500	D
167	Chr02	24250000	24350000	0.7220400	D
168	Chr02	25450000	25550000	0.7497100	D
169	Chr02	26500000	26600000	0.4386900	D
170	Chr02	26750000	26850000	0.7572800	D
171	Chr02	30950000	31050000	0.6448400	D
172	Chr02	31750000	31850000	0.7119800	D
173	Chr02	34350000	34450000	0.6551500	D
174	Chr02	38300000	38400000	0.4004800	D
175	Chr02	43650000	43750000	0.3658900	D
176	Chr02	44200000	44300000	0.5001800	D
177	Chr03	41850000	41950000	0.6277600	D
178	Chr03	5150000	5250000	0.4630300	D
179	Chr03	9400000	9500000	0.4661600	D
180	Chr03	18850000	18950000	0.6054400	D
181	Chr03	19850000	19950000	0.4855800	D
182	Chr03	20900000	21000000	0.6460500	D
183	Chr03	26150000	26250000	0.6078000	D
184	Chr03	27250000	27350000	0.5543100	D
185	Chr03	29300000	29400000	0.6261300	D
186	Chr03	32450000	32550000	0.4522400	D
187	Chr03	35650000	35750000	0.6908600	D
188	Chr03	38700000	38800000	0.6784300	D
189	Chr03	42950000	43050000	0.5228100	D
190	Chr03	48200000	48300000	0.5646000	D
191	Chr03	52400000	52500000	0.4015800	D
192	Chr03	56550000	56650000	0.3193900	D
193	Chr03	59750000	59850000	0.4320700	D
194	Chr03	62900000	63000000	0.1701100	D
195	Chr03	700000	800000	0.4703900	D
196	Chr03	3800000	3900000	0.3981300	D
197	Chr03	4950000	5050000	0.3690500	D
198	Chr03	5700000	5800000	0.2212300	D
199	Chr03	6100000	6200000	0.3402100	D
200	Chr03	6600000	6700000	0.5037300	D
201	Chr03	6900000	7000000	0.4118100	D
202	Chr03	7150000	7250000	0.2825600	D
203	Chr03	7600000	7700000	0.3947800	D
204	Chr03	9000000	9100000	0.4350600	D
205	Chr03	10150000	10250000	0.6265100	D
206	Chr03	10650000	10750000	0.4424500	D
207	Chr03	11750000	11850000	0.5627100	D
208	Chr03	12750000	12850000	0.6516200	D
209	Chr03	13300000	13400000	0.6721900	D
210	Chr03	14150000	14250000	0.4010000	D
211	Chr03	15200000	15300000	0.4560700	D
212	Chr03	16050000	16150000	0.7381700	D
213	Chr03	17300000	17400000	0.6642900	D
214	Chr03	17650000	17750000	0.6446600	D
215	Chr03	19250000	19350000	0.5574800	D
216	Chr03	20300000	20400000	0.6268700	D
217	Chr03	22350000	22450000	0.5485800	D
218	Chr03	22750000	22850000	0.5440800	D
219	Chr03	24500000	24600000	0.7054700	D
220	Chr03	27750000	27850000	0.5193000	D
221	Chr03	30850000	30950000	0.6802600	D
222	Chr03	31250000	31350000	0.6331900	D
223	Chr03	31950000	32050000	0.6934200	D
224	Chr03	33800000	33900000	0.6060800	D
225	Chr03	35300000	35400000	0.5408700	D
226	Chr03	36400000	36500000	0.6185000	D
227	Chr03	37950000	38050000	0.5858600	D
228	Chr03	38350000	38450000	0.5090200	D
229	Chr03	39900000	40000000	0.5650500	D
230	Chr03	40600000	40700000	0.6096300	D
231	Chr03	41100000	41200000	0.6510800	D
232	Chr03	42450000	42550000	0.6161200	D
233	Chr03	45200000	45300000	0.7318100	D
234	Chr03	45600000	45700000	0.5109800	D
235	Chr03	46300000	46400000	0.5997100	D
236	Chr03	48600000	48700000	0.6721000	D
237	Chr03	49000000	49100000	0.4674000	D
238	Chr03	49750000	49850000	0.6182500	D
239	Chr03	50650000	50750000	0.6296500	D
240	Chr03	51950000	52050000	0.4616500	D
241	Chr03	53050000	53150000	0.8124900	D
242	Chr03	53550000	53650000	0.6595200	D
243	Chr03	53800000	53900000	0.5702400	D
244	Chr03	54700000	54800000	0.5952500	D
245	Chr03	55050000	55150000	0.4497200	D
246	Chr03	55950000	56050000	0.5101700	D
247	Chr03	56200000	56300000	0.5143600	D
248	Chr03	57900000	58000000	0.4093300	D
249	Chr03	58500000	58600000	0.3069000	D
250	Chr03	59150000	59250000	0.3432300	D
251	Chr03	60350000	60450000	0.3860300	D
252	Chr03	0	50000	0.4095600	D
253	Chr03	4200000	4300000	0.4474800	D
254	Chr03	21250000	21350000	0.6179100	D
255	Chr03	21650000	21750000	0.6004700	D
256	Chr03	22050000	22150000	0.6079000	D
257	Chr03	24800000	24900000	0.5646500	D
258	Chr03	25300000	25400000	0.5858100	D
259	Chr03	25700000	25800000	0.6563200	D
260	Chr03	35000000	35100000	0.6296900	D
261	Chr03	42100000	42200000	0.5335400	D
262	Chr03	43400000	43500000	0.6355700	D
263	Chr03	51000000	51100000	0.6575600	D
264	Chr03	57300000	57400000	0.4209900	D
265	Chr03	59400000	59500000	0.5352800	D
266	Chr03	62150000	62250000	0.2668400	D
267	Chr04	2050000	2150000	0.3868600	D
268	Chr04	13600000	13700000	0.5086500	D
269	Chr04	19850000	19950000	0.5762500	D
270	Chr04	27250000	27350000	0.5417800	D
271	Chr04	29350000	29450000	0.6016500	D
272	Chr04	650000	750000	0.7223000	D
273	Chr04	1350000	1450000	0.2326300	D
274	Chr04	3000000	3100000	0.2615400	D
275	Chr04	3250000	3350000	0.2164100	D
276	Chr04	3850000	3950000	0.4141700	D
277	Chr04	4050000	4150000	0.4267200	D
278	Chr04	4450000	4550000	0.3121200	D
279	Chr04	4650000	4750000	0.4927600	D
280	Chr04	4950000	5050000	0.6985900	D
281	Chr04	5750000	5850000	0.4702200	D
282	Chr04	6650000	6750000	0.5389500	D
283	Chr04	7650000	7750000	0.4899500	D
284	Chr04	8450000	8550000	0.4874000	D
285	Chr04	8700000	8800000	0.5832300	D
286	Chr04	10300000	10400000	0.3763600	D
287	Chr04	10650000	10750000	0.7238100	D
288	Chr04	11250000	11350000	0.4687300	D
289	Chr04	11750000	11850000	0.6500800	D
290	Chr04	12250000	12350000	0.5861900	D
291	Chr04	13950000	14050000	0.5838700	D
292	Chr04	14200000	14300000	0.5710000	D
293	Chr04	15000000	15100000	0.5770700	D
294	Chr04	15450000	15550000	0.6930400	D
295	Chr04	16350000	16450000	0.5276500	D
296	Chr04	16850000	16950000	0.5927700	D
297	Chr04	17350000	17450000	0.6629800	D
298	Chr04	17650000	17750000	0.6557900	D
299	Chr04	18150000	18250000	0.6488800	D
300	Chr04	18550000	18650000	0.7573800	D
301	Chr04	19100000	19200000	0.7065000	D
302	Chr04	19450000	19550000	0.6820600	D
303	Chr04	20700000	20800000	0.5982200	D
304	Chr04	21750000	21850000	0.5239700	D
305	Chr04	22200000	22300000	0.6192300	D
306	Chr04	23450000	23550000	0.7216400	D
307	Chr04	24900000	25000000	0.5024700	D
308	Chr04	28100000	28200000	0.7205800	D
309	Chr04	28750000	28850000	0.7563300	D
310	Chr04	30000000	30100000	0.7021100	D
311	Chr04	30600000	30700000	0.7002700	D
312	Chr04	33350000	33450000	0.5823200	D
313	Chr04	33850000	33950000	0.6335600	D
314	Chr04	34250000	34350000	0.5983400	D
315	Chr04	34650000	34750000	0.5761000	D
316	Chr04	35300000	35400000	0.3852600	D
317	Chr04	35700000	35800000	0.5568800	D
318	Chr04	36350000	36450000	0.5376000	D
319	Chr04	36900000	37000000	0.5697100	D
320	Chr04	37950000	38050000	0.5968000	D
321	Chr04	38500000	38600000	0.5763700	D
322	Chr04	39050000	39150000	0.5742900	D
323	Chr04	39700000	39800000	0.5628400	D
324	Chr04	41250000	41350000	0.2981800	D
325	Chr04	43900000	44000000	0.4132300	D
326	Chr04	44650000	44750000	0.3928600	D
327	Chr04	46500000	46600000	0.3954600	D
328	Chr04	50150000	50250000	0.3269800	D
329	Chr04	50550000	50650000	0.5306100	D
330	Chr04	150000	250000	0.3677700	D
331	Chr04	5400000	5500000	0.5072900	D
332	Chr04	6300000	6400000	0.4429600	D
333	Chr04	9050000	9150000	0.6604200	D
334	Chr04	9450000	9550000	0.6235500	D
335	Chr04	20450000	20550000	0.5567000	D
336	Chr04	21250000	21350000	0.5558400	D
337	Chr04	22950000	23050000	0.6165000	D
338	Chr04	23750000	23850000	0.6505100	D
339	Chr04	25300000	25400000	0.5253400	D
340	Chr04	25850000	25950000	0.6365000	D
341	Chr04	40250000	40350000	0.5034200	D
342	Chr04	45750000	45850000	0.4181100	D
343	Chr04	46950000	47050000	0.5680000	D
344	Chr05	950000	1050000	0.1674800	D
345	Chr05	6200000	6300000	0.2138100	D
346	Chr05	27200000	27300000	0.3748800	D
347	Chr05	39750000	39850000	0.7324900	D
348	Chr05	49200000	49300000	0.7464100	D
349	Chr05	52400000	52500000	0.5199800	D
350	Chr05	700000	800000	0.1668600	D
351	Chr05	1500000	1600000	0.1735900	D
352	Chr05	1900000	2000000	0.2457200	D
353	Chr05	2200000	2300000	0.1648200	D
354	Chr05	2750000	2850000	0.1513900	D
355	Chr05	4050000	4150000	0.1442400	D
356	Chr05	4900000	5000000	0.1363900	D
357	Chr05	5550000	5650000	0.1381000	D
358	Chr05	6900000	7000000	0.1866500	D
359	Chr05	7150000	7250000	0.1436100	D
360	Chr05	7700000	7800000	0.2725900	D
361	Chr05	10150000	10250000	0.1672200	D
362	Chr05	10550000	10650000	0.3068500	D
363	Chr05	12250000	12350000	0.2231200	D
364	Chr05	12900000	13000000	0.2261900	D
365	Chr05	13300000	13400000	0.2129000	D
366	Chr05	13800000	13900000	0.2097300	D
367	Chr05	14350000	14450000	0.2283400	D
368	Chr05	15000000	15100000	0.2621800	D
369	Chr05	15400000	15500000	0.3292400	D
370	Chr05	15850000	15950000	0.1958000	D
371	Chr05	16550000	16650000	0.2221800	D
372	Chr05	17100000	17200000	0.2185100	D
373	Chr05	17600000	17700000	0.3036300	D
374	Chr05	18300000	18400000	0.2141200	D
375	Chr05	20250000	20350000	0.2744300	D
376	Chr05	20800000	20900000	0.2901200	D
377	Chr05	21050000	21150000	0.3359400	D
378	Chr05	21450000	21550000	0.3545000	D
379	Chr05	22400000	22500000	0.3981500	D
380	Chr05	22800000	22900000	0.3617300	D
381	Chr05	23950000	24050000	0.3833900	D
382	Chr05	24450000	24550000	0.3337900	D
383	Chr05	25350000	25450000	0.3994000	D
384	Chr05	26050000	26150000	0.3882400	D
385	Chr05	27500000	27600000	0.4596000	D
386	Chr05	29750000	29850000	0.3889500	D
387	Chr05	29950000	30050000	0.4247200	D
388	Chr05	30250000	30350000	0.5804400	D
389	Chr05	30900000	31000000	0.5760500	D
390	Chr05	32100000	32200000	0.6574500	D
391	Chr05	32750000	32850000	0.4005500	D
392	Chr05	33200000	33300000	0.5625100	D
393	Chr05	34000000	34100000	0.6217500	D
394	Chr05	34850000	34950000	0.5992000	D
395	Chr05	36550000	36650000	0.6355300	D
396	Chr05	36750000	36850000	0.6558100	D
397	Chr05	37300000	37400000	0.6712400	D
398	Chr05	41150000	41250000	0.7259500	D
399	Chr05	41650000	41750000	0.6518000	D
400	Chr05	42250000	42350000	0.6268700	D
401	Chr05	42700000	42800000	0.6820500	D
402	Chr05	43550000	43650000	0.6165700	D
403	Chr05	44350000	44450000	0.6880700	D
404	Chr05	45200000	45300000	0.5857500	D
405	Chr05	45850000	45950000	0.5806300	D
406	Chr05	46650000	46750000	0.5854800	D
407	Chr05	47350000	47450000	0.4912400	D
408	Chr05	47800000	47900000	0.3861100	D
409	Chr05	48750000	48850000	0.7042800	D
410	Chr05	49900000	50000000	0.7672900	D
411	Chr05	50550000	50650000	0.7436700	D
412	Chr05	51100000	51200000	0.6423600	D
413	Chr05	52550000	52650000	0.8046400	D
414	Chr05	53600000	53700000	0.3337300	D
415	Chr05	55350000	55450000	0.6546600	D
416	Chr05	57050000	57150000	0.3485000	D
417	Chr05	0	50000	0.5744600	D
418	Chr05	3550000	3650000	0.1100400	D
419	Chr05	8150000	8250000	0.1196800	D
420	Chr05	8800000	8900000	0.2219000	D
421	Chr05	9450000	9550000	0.1670500	D
422	Chr05	10900000	11000000	0.1464000	D
423	Chr05	19800000	19900000	0.3339200	D
424	Chr05	23200000	23300000	0.3419500	D
425	Chr05	24800000	24900000	0.4072400	D
426	Chr05	35150000	35250000	0.7208400	D
427	Chr05	37750000	37850000	0.6376000	D
428	Chr05	38800000	38900000	0.8434500	D
429	Chr05	40250000	40350000	0.5975100	D
430	Chr05	50350000	50450000	0.7043300	D
431	Chr05	52050000	52150000	0.6456200	D
432	Chr05	52850000	52950000	0.6227000	D
433	Chr05	54550000	54650000	0.6455700	D
434	Chr05	54800000	54900000	0.6280600	D
435	Chr05	56500000	56600000	0.5209500	D
436	Chr06	41850000	41950000	0.5517000	D
437	Chr06	58650000	58750000	0.3069600	D
438	Chr06	4100000	4200000	0.6843700	D
439	Chr06	10400000	10500000	0.4802500	D
440	Chr06	12500000	12600000	0.5914100	D
441	Chr06	15650000	15750000	0.4342000	D
442	Chr06	20950000	21050000	0.6383700	D
443	Chr06	21950000	22050000	0.6256300	D
444	Chr06	42900000	43000000	0.6075500	D
445	Chr06	46050000	46150000	0.5274400	D
446	Chr06	59750000	59850000	0.3148600	D
447	Chr06	750000	850000	0.3033600	D
448	Chr06	1250000	1350000	0.2673900	D
449	Chr06	2150000	2250000	0.3482000	D
450	Chr06	3850000	3950000	0.6423600	D
451	Chr06	4900000	5000000	0.6102100	D
452	Chr06	5550000	5650000	0.3112500	D
453	Chr06	6350000	6450000	0.3467600	D
454	Chr06	6750000	6850000	0.7055800	D
455	Chr06	7150000	7250000	0.4009000	D
456	Chr06	7450000	7550000	0.4651900	D
457	Chr06	8250000	8350000	0.4917000	D
458	Chr06	8750000	8850000	0.3730600	D
459	Chr06	8950000	9050000	0.4280200	D
460	Chr06	9900000	10000000	0.6184100	D
461	Chr06	11050000	11150000	0.4605800	D
462	Chr06	11600000	11700000	0.5557800	D
463	Chr06	12150000	12250000	0.5335600	D
464	Chr06	14350000	14450000	0.5749800	D
465	Chr06	15450000	15550000	0.4715500	D
466	Chr06	16450000	16550000	0.6882300	D
467	Chr06	16900000	17000000	0.6265200	D
468	Chr06	17550000	17650000	0.5142100	D
469	Chr06	18400000	18500000	0.4842900	D
470	Chr06	20100000	20200000	0.5637100	D
471	Chr06	20750000	20850000	0.5062500	D
472	Chr06	23400000	23500000	0.5231600	D
473	Chr06	23800000	23900000	0.5865900	D
474	Chr06	24300000	24400000	0.5110200	D
475	Chr06	25200000	25300000	0.5702800	D
476	Chr06	25400000	25500000	0.6068500	D
477	Chr06	26700000	26800000	0.6504000	D
478	Chr06	27350000	27450000	0.7149400	D
479	Chr06	28000000	28100000	0.5036700	D
480	Chr06	29050000	29150000	0.6826200	D
481	Chr06	29850000	29950000	0.5718200	D
482	Chr06	30600000	30700000	0.7023000	D
483	Chr06	31500000	31600000	0.6669200	D
484	Chr06	32200000	32300000	0.6026500	D
485	Chr06	32550000	32650000	0.7784900	D
486	Chr06	33150000	33250000	0.5547600	D
487	Chr06	35900000	36000000	0.6818800	D
488	Chr06	36400000	36500000	0.7095200	D
489	Chr06	37400000	37500000	0.5638800	D
490	Chr06	38650000	38750000	0.5278000	D
491	Chr06	42400000	42500000	0.6933500	D
492	Chr06	44300000	44400000	0.7166100	D
493	Chr06	45200000	45300000	0.5043800	D
494	Chr06	45850000	45950000	0.6028700	D
495	Chr06	46450000	46550000	0.5289700	D
496	Chr06	47000000	47100000	0.4888800	D
497	Chr06	48400000	48500000	0.5541800	D
498	Chr06	49650000	49750000	0.5577100	D
499	Chr06	50800000	50900000	0.4585900	D
500	Chr06	51100000	51200000	0.5598200	D
501	Chr06	51500000	51600000	0.4955600	D
502	Chr06	52000000	52100000	0.4419300	D
503	Chr06	53200000	53300000	0.3881100	D
504	Chr06	53650000	53750000	0.6229800	D
505	Chr06	54300000	54400000	0.5067300	D
506	Chr06	55000000	55100000	0.5147500	D
507	Chr06	56300000	56400000	0.2905200	D
508	Chr06	56850000	56950000	0.3474000	D
509	Chr06	57250000	57350000	0.3178600	D
510	Chr06	58100000	58200000	0.4036300	D
511	Chr06	59450000	59550000	0.3502400	D
512	Chr06	0	50000	0.3368400	D
513	Chr06	3150000	3250000	0.3945400	D
514	Chr06	6050000	6150000	0.3605100	D
515	Chr06	10750000	10850000	0.7248600	D
516	Chr06	12850000	12950000	0.6255200	D
517	Chr06	13250000	13350000	0.5660800	D
518	Chr06	14950000	15050000	0.5311100	D
519	Chr06	18750000	18850000	0.6010500	D
520	Chr06	19150000	19250000	0.4346800	D
521	Chr06	19800000	19900000	0.6757200	D
522	Chr06	21500000	21600000	0.5001600	D
523	Chr06	22700000	22800000	0.5054000	D
524	Chr06	26100000	26200000	0.5720900	D
525	Chr06	28600000	28700000	0.6142900	D
526	Chr06	35000000	35100000	0.7268800	D
527	Chr06	38300000	38400000	0.7032800	D
528	Chr06	39600000	39700000	0.6372400	D
529	Chr06	40250000	40350000	0.5833400	D
530	Chr06	41050000	41150000	0.6940000	D
531	Chr06	43400000	43500000	0.5420900	D
532	Chr06	43800000	43900000	0.7325600	D
533	Chr06	49050000	49150000	0.6882700	D
534	Chr06	52700000	52800000	0.4842200	D
535	Chr06	60300000	60400000	0.4507900	D
536	Chr07	950000	1050000	0.2418400	D
537	Chr07	5150000	5250000	0.4278400	D
538	Chr07	17750000	17850000	0.6321800	D
539	Chr07	19850000	19950000	0.6224100	D
540	Chr07	26150000	26250000	0.4379400	D
541	Chr07	29300000	29400000	0.5028700	D
542	Chr07	32450000	32550000	0.5572000	D
543	Chr07	35650000	35750000	0.3880100	D
544	Chr07	42950000	43050000	0.4052700	D
545	Chr07	46050000	46150000	0.4863700	D
546	Chr07	53400000	53500000	0.5148900	D
547	Chr07	1400000	1500000	0.2028300	D
548	Chr07	1650000	1750000	0.3778700	D
549	Chr07	2150000	2250000	0.6630100	D
550	Chr07	4900000	5000000	0.3739500	D
551	Chr07	5950000	6050000	0.5650400	D
552	Chr07	6100000	6200000	0.5272000	D
553	Chr07	8600000	8700000	0.6174900	D
554	Chr07	9950000	10050000	0.5886100	D
555	Chr07	11200000	11300000	0.5772000	D
556	Chr07	12100000	12200000	0.4434600	D
557	Chr07	15800000	15900000	0.6407400	D
558	Chr07	16350000	16450000	0.5618700	D
559	Chr07	18300000	18400000	0.5785400	D
560	Chr07	18700000	18800000	0.7214300	D
561	Chr07	19500000	19600000	0.6371300	D
562	Chr07	20150000	20250000	0.6936200	D
563	Chr07	21100000	21200000	0.5569800	D
564	Chr07	21350000	21450000	0.5520600	D
565	Chr07	22900000	23000000	0.7965600	D
566	Chr07	23450000	23550000	0.7450900	D
567	Chr07	23950000	24050000	0.5504700	D
568	Chr07	25550000	25650000	0.4879000	D
569	Chr07	25900000	26000000	0.4793900	D
570	Chr07	26550000	26650000	0.5637500	D
571	Chr07	28150000	28250000	0.5551500	D
572	Chr07	28400000	28500000	0.6447800	D
573	Chr07	30600000	30700000	0.6601600	D
574	Chr07	31050000	31150000	0.5834200	D
575	Chr07	31700000	31800000	0.4046700	D
576	Chr07	32850000	32950000	0.4490800	D
577	Chr07	33750000	33850000	0.2456100	D
578	Chr07	34200000	34300000	0.5006600	D
579	Chr07	35050000	35150000	0.5749700	D
580	Chr07	36300000	36400000	0.5092800	D
581	Chr07	37850000	37950000	0.4255400	D
582	Chr07	38600000	38700000	0.4831800	D
583	Chr07	39100000	39200000	0.3171000	D
584	Chr07	39550000	39650000	0.5823500	D
585	Chr07	39950000	40050000	0.4676500	D
586	Chr07	40200000	40300000	0.3833200	D
587	Chr07	41000000	41100000	0.4250800	D
588	Chr07	41600000	41700000	0.5665500	D
589	Chr07	41800000	41900000	0.6599400	D
590	Chr07	42200000	42300000	0.3955100	D
591	Chr07	43850000	43950000	0.4867100	D
592	Chr07	44600000	44700000	0.3280400	D
593	Chr07	45150000	45250000	0.5412000	D
594	Chr07	45350000	45450000	0.2589800	D
595	Chr07	47300000	47400000	0.3749000	D
596	Chr07	49000000	49100000	0.2684600	D
597	Chr07	49650000	49750000	0.2413300	D
598	Chr07	52900000	53000000	0.2580200	D
599	Chr07	0	50000	0.6517600	D
600	Chr07	3150000	3250000	0.4265000	D
601	Chr07	3550000	3650000	0.3812700	D
602	Chr07	5650000	5750000	0.5403800	D
603	Chr07	6450000	6550000	0.5265900	D
604	Chr07	6950000	7050000	0.7053200	D
605	Chr07	8000000	8100000	0.6125300	D
606	Chr07	12850000	12950000	0.5906600	D
607	Chr07	16000000	16100000	0.4458800	D
608	Chr07	17450000	17550000	0.6081200	D
