num	genome	ID	dist	year		
63	A	LTR-TE115	1.52	1.08571		
64	A	LTR-TE116	6.31	4.50714		
65	A	LTR-TE119	2.11	1.50714		
66	A	LTR-TE120	0.29	0.207143		
67	A	LTR-TE122	1.91	1.36429		
68	A	LTR-TE123	1.15	0.821429		
69	A	LTR-TE125	2.7	1.92857		
70	A	LTR-TE126	0.87	0.621429		
71	A	LTR-TE127	7.08	5.05714		
72	A	LTR-TE129	5.82	4.15714		
73	A	LTR-TE130	2.15	1.53571		
74	A	LTR-TE132	3.21	2.29286		
75	A	LTR-TE133	6.81	4.86429		
76	A	LTR-TE134	2.03	1.45		
77	A	LTR-TE135	7.45	5.32143		
78	A	LTR-TE136	6.47	4.62143		
79	A	LTR-TE137	5.43	3.87857		
80	A	LTR-TE140	7.76	5.54286		
81	A	LTR-TE141	2.47	1.76429		
82	A	LTR-TE144	1.35	0.964286		
83	A	LTR-TE145	1.31	0.935714		
84	A	LTR-TE147	6.07	4.33571		
85	A	LTR-TE148	0.3	0.214286		
86	A	LTR-TE149	6.17	4.40714		
87	A	LTR-TE151	0.93	0.664286		
88	A	LTR-TE154	1.21	0.864286		
89	A	LTR-TE155	1.44	1.02857		
90	A	LTR-TE156	2.04	1.45714		
91	A	LTR-TE157	2.36	1.68571		
92	A	LTR-TE159	2.1	1.5		
93	A	LTR-TE161	3.59	2.56429		
94	A	LTR-TE162	3.05	2.17857		
95	A	LTR-TE164	1.74	1.24286		
96	A	LTR-TE165	1.58	1.12857		
97	A	LTR-TE168	4.23	3.02143		
98	A	LTR-TE169	7.41	5.29286		
99	A	LTR-TE170	0.59	0.421429		
100	A	LTR-TE171	0.41	0.292857		
101	A	LTR-TE174	3.59	2.56429		
102	A	LTR-TE175	4.52	3.22857		
103	A	LTR-TE178	8.57	6.12143		
104	A	LTR-TE180	4.2	3		
105	A	LTR-TE182	0.56	0.4		
106	A	LTR-TE185	1.27	0.907143		
107	A	LTR-TE187	6.31	4.50714		
108	A	LTR-TE188	2.42	1.72857		
109	A	LTR-TE191	4.69	3.35		
110	A	LTR-TE192	4.45	3.17857		
111	A	LTR-TE193	8.65	6.17857		
112	A	LTR-TE198	0	0		
113	A	LTR-TE199	3.71	2.65		
114	A	LTR-TE200	12.96	9.25714		
115	A	LTR-TE201	0.47	0.335714		
116	A	LTR-TE203	0.67	0.478571		
117	A	LTR-TE205	1.29	0.921429		
118	A	LTR-TE206	6.81	4.86429		
119	A	LTR-TE210	0.58	0.414286		
120	A	LTR-TE212	0.39	0.278571		
121	A	LTR-TE213	1.29	0.921429		
122	A	LTR-TE214	2.19	1.56429		
123	A	LTR-TE221	5.46	3.9		
124	A	LTR-TE222	0.28	0.2		
125	A	LTR-TE223	4.48	3.2		
126	A	LTR-TE225	3.45	2.46429		
127	A	LTR-TE226	1.03	0.735714		
128	A	LTR-TE227	1.44	1.02857		
129	A	LTR-TE228	1.05	0.75		
130	A	LTR-TE229	1.69	1.20714		
131	A	LTR-TE230	5.65	4.03571		
132	A	LTR-TE233	0.41	0.292857		
133	A	LTR-TE234	2.44	1.74286		
134	A	LTR-TE235	2.63	1.87857		
135	A	LTR-TE236	2.4	1.71429		
136	A	LTR-TE237	2.67	1.90714		
137	A	LTR-TE238	2.27	1.62143		
138	A	LTR-TE239	1.67	1.19286		
139	A	LTR-TE240	0.86	0.614286		
140	A	LTR-TE242	0.37	0.264286		
141	A	LTR-TE244	2.02	1.44286		
142	A	LTR-TE245	2.03	1.45		
143	A	LTR-TE248	0.98	0.7		
144	A	LTR-TE254	0.59	0.421429		
145	A	LTR-TE257	1.22	0.871429		
146	A	LTR-TE262	7.71	5.50714		
147	A	LTR-TE263	1.21	0.864286		
148	A	LTR-TE265	8.14	5.81429		
149	A	LTR-TE270	0.38	0.271429		
150	A	LTR-TE271	2.35	1.67857		
151	A	LTR-TE272	4.22	3.01429		
152	A	LTR-TE274	5.59	3.99286		
153	A	LTR-TE281	3.12	2.22857		
154	A	LTR-TE282	3.35	2.39286		
155	A	LTR-TE284	0.83	0.592857		
156	A	LTR-TE285	0	0		
157	A	LTR-TE286	1.11	0.792857		
158	A	LTR-TE287	1.32	0.942857		
159	A	LTR-TE288	0.41	0.292857		
160	A	LTR-TE290	2.72	1.94286		
161	A	LTR-TE291	0.77	0.55		
162	A	LTR-TE292	0.87	0.621429		
163	A	LTR-TE293	1.35	0.964286		
164	A	LTR-TE294	2.22	1.58571		
165	A	LTR-TE295	0.73	0.521429		
166	A	LTR-TE298	0.73	0.521429		
167	A	LTR-TE300	0.62	0.442857		
168	A	LTR-TE302	2.82	2.01429		
169	A	LTR-TE303	4.05	2.89286		
170	A	LTR-TE306	8.28	5.91429		
171	A	LTR-TE309	1.65	1.17857		
172	A	LTR-TE311	3.32	2.37143		
173	A	LTR-TE312	1.28	0.914286		
174	A	LTR-TE314	1.14	0.814286		
175	A	LTR-TE316	0.76	0.542857		
176	A	LTR-TE317	1.8	1.28571		
177	A	LTR-TE319	0.35	0.25		
178	A	LTR-TE320	0.88	0.628571		
179	A	LTR-TE325	6.97	4.97857		
180	A	LTR-TE326	3.45	2.46429		
181	A	LTR-TE327	1.34	0.957143		
182	A	LTR-TE330	0.28	0.2		
183	A	LTR-TE332	0.96	0.685714		
184	A	LTR-TE333	1.08	0.771429		
185	A	LTR-TE334	1	0.714286		
186	A	LTR-TE335	2.52	1.8		
187	A	LTR-TE336	0.8	0.571429		
188	A	LTR-TE338	1.26	0.9		
189	A	LTR-TE340	2.74	1.95714		
190	A	LTR-TE341	1.83	1.30714		
191	A	LTR-TE345	0.81	0.578571		
192	A	LTR-TE347	1.18	0.842857		
193	A	LTR-TE348	5.65	4.03571		
194	A	LTR-TE349	6.2	4.42857		
195	A	LTR-TE350	0.36	0.257143		
196	A	LTR-TE352	0.81	0.578571		
197	A	LTR-TE356	1.07	0.764286		
198	A	LTR-TE357	0.77	0.55		
199	A	LTR-TE358	1.93	1.37857		
200	A	LTR-TE359	0.48	0.342857		
201	A	LTR-TE360	1.53	1.09286		
202	A	LTR-TE362	2.46	1.75714		
203	A	LTR-TE363	0.21	0.15		
204	A	LTR-TE364	0.58	0.414286		
205	A	LTR-TE365	1.65	1.17857		
206	A	LTR-TE370	2.01	1.43571		
207	A	LTR-TE371	1.34	0.957143		
208	A	LTR-TE372	0.86	0.614286		
209	A	LTR-TE374	6.38	4.55714		
210	A	LTR-TE375	0.16	0.114286		
211	A	LTR-TE376	1.97	1.40714		
212	A	LTR-TE377	1.6	1.14286		
213	A	LTR-TE378	0.79	0.564286		
214	A	LTR-TE379	0.77	0.55		
215	A	LTR-TE381	6.35	4.53571		
216	A	LTR-TE382	6.05	4.32143		
217	A	LTR-TE383	0.25	0.178571		
218	A	LTR-TE384	3.26	2.32857		
219	A	LTR-TE385	4.26	3.04286		
220	A	LTR-TE386	0.37	0.264286		
221	A	LTR-TE387	1.63	1.16429		
222	A	LTR-TE388	2.59	1.85		
223	A	LTR-TE389	2.78	1.98571		
224	A	LTR-TE390	0.25	0.178571		
225	A	LTR-TE393	1.18	0.842857		
226	A	LTR-TE394	1.09	0.778571		
227	A	LTR-TE395	2	1.42857		
228	A	LTR-TE399	0.65	0.464286		
229	A	LTR-TE401	3.01	2.15		
230	A	LTR-TE402	0.16	0.114286		
231	A	LTR-TE405	0.74	0.528571		
232	A	LTR-TE406	1.11	0.792857		
233	A	LTR-TE407	2.47	1.76429		
234	A	LTR-TE408	2.85	2.03571		
235	A	LTR-TE409	4.51	3.22143		
236	A	LTR-TE411	7.28	5.2		
237	A	LTR-TE413	1.35	0.964286		
238	A	LTR-TE414	1.53	1.09286		
239	A	LTR-TE415	0.9	0.642857		
240	A	LTR-TE416	0.89	0.635714		
241	A	LTR-TE417	5.98	4.27143		
242	A	LTR-TE420	1.37	0.978571		
243	A	LTR-TE425	4.83	3.45		
244	A	LTR-TE426	1.61	1.15		
245	A	LTR-TE427	1.05	0.75		
246	A	LTR-TE428	1.09	0.778571		
247	A	LTR-TE431	0.43	0.307143		
248	A	LTR-TE432	1.41	1.00714		
249	A	LTR-TE434	3.53	2.52143		
250	A	LTR-TE435	0.62	0.442857		
251	A	LTR-TE438	2.37	1.69286		
252	A	LTR-TE440	1.21	0.864286		
253	A	LTR-TE442	0.59	0.421429		
254	A	LTR-TE443	5.04	3.6		
255	A	LTR-TE445	3.57	2.55		
256	A	LTR-TE448	0.39	0.278571		
257	A	LTR-TE449	2.28	1.62857		
258	A	LTR-TE453	0.88	0.628571		
259	A	LTR-TE455	0.19	0.135714		
260	A	LTR-TE461	0.64	0.457143		
261	A	LTR-TE462	6.18	4.41429		
262	A	LTR-TE464	1.11	0.792857		
263	A	LTR-TE468	0.51	0.364286		
264	A	LTR-TE469	0.41	0.292857		
265	A	LTR-TE470	7.29	5.20714		
266	A	LTR-TE471	2.49	1.77857		
267	A	LTR-TE472	3.41	2.43571		
268	A	LTR-TE473	0.86	0.614286		
269	A	LTR-TE475	6.45	4.60714		
270	A	LTR-TE476	0.37	0.264286		
271	A	LTR-TE477	0.86	0.614286		
272	A	LTR-TE478	0.66	0.471429		
273	A	LTR-TE482	0.57	0.407143		
274	A	LTR-TE483	0.74	0.528571		
275	A	LTR-TE486	4.25	3.03571		
276	A	LTR-TE488	2.53	1.80714		
277	A	LTR-TE489	4.08	2.91429		
278	A	LTR-TE492	6.49	4.63571		
279	A	LTR-TE493	0.49	0.35		
280	A	LTR-TE495	6.95	4.96429		
281	A	LTR-TE496	3.32	2.37143		
282	A	LTR-TE497	0.19	0.135714		
283	A	LTR-TE500	0.31	0.221429		
284	A	LTR-TE501	2.95	2.10714		
285	A	LTR-TE507	0.93	0.664286		
286	A	LTR-TE512	1.49	1.06429		
287	A	LTR-TE513	1.1	0.785714		
288	A	LTR-TE514	8.21	5.86429		
289	A	LTR-TE515	1.61	1.15		
290	A	LTR-TE517	1.71	1.22143		
291	A	LTR-TE519	1.76	1.25714		
292	A	LTR-TE521	1.48	1.05714		
293	A	LTR-TE522	0.41	0.292857		
294	A	LTR-TE523	0.83	0.592857		
295	A	LTR-TE526	1.37	0.978571		
296	A	LTR-TE527	0.49	0.35		
297	A	LTR-TE528	1.16	0.828571		
298	A	LTR-TE529	1.47	1.05		
299	A	LTR-TE530	0.22	0.157143		
300	A	LTR-TE531	0.75	0.535714		
301	A	LTR-TE532	1.61	1.15		
302	A	LTR-TE533	0.1	0.0714286		
303	A	LTR-TE534	0.23	0.164286		
304	A	LTR-TE539	2.48	1.77143		
305	A	LTR-TE542	0.34	0.242857		
306	A	LTR-TE544	0.62	0.442857		
307	A	LTR-TE546	4.14	2.95714		
308	A	LTR-TE547	3.95	2.82143		
309	A	LTR-TE548	0.28	0.2		
310	A	LTR-TE550	0.99	0.707143		
311	A	LTR-TE551	7.84	5.6		
312	A	LTR-TE552	1.42	1.01429		
313	A	LTR-TE553	2.31	1.65		
314	A	LTR-TE555	0.57	0.407143		
315	A	LTR-TE557	3.4	2.42857		
316	A	LTR-TE563	1.23	0.878571		
317	A	LTR-TE564	1.1	0.785714		
318	A	LTR-TE565	1.8	1.28571		
319	A	LTR-TE567	0.19	0.135714		
320	A	LTR-TE569	0.19	0.135714		
321	A	LTR-TE570	0.49	0.35		
322	A	LTR-TE572	1.35	0.964286		
323	A	LTR-TE575	1.9	1.35714		
324	A	LTR-TE576	0.45	0.321429		
325	A	LTR-TE577	0.56	0.4		
326	A	LTR-TE578	0.52	0.371429		
327	A	LTR-TE579	0.55	0.392857		
328	A	LTR-TE580	0.55	0.392857		
329	A	LTR-TE581	1.11	0.792857		
330	A	LTR-TE582	0.55	0.392857		
331	A	LTR-TE583	0.77	0.55		
332	A	LTR-TE584	7.19	5.13571		
333	A	LTR-TE585	1.64	1.17143		
334	A	LTR-TE586	3.67	2.62143		
335	A	LTR-TE587	0.22	0.157143		
336	A	LTR-TE588	0.69	0.492857		
337	A	LTR-TE589	1.47	1.05		
338	A	LTR-TE590	1.28	0.914286		
339	A	LTR-TE592	0.32	0.228571		
340	A	LTR-TE595	0.82	0.585714		
341	A	LTR-TE597	1.2	0.857143		
342	A	LTR-TE600	8.5	6.07143		
343	A	LTR-TE601	8.04	5.74286		
344	A	LTR-TE602	5.58	3.98571		
345	A	LTR-TE603	0	0		
346	A	LTR-TE604	1.14	0.814286		
347	A	LTR-TE605	0	0		
348	A	LTR-TE608	1.2	0.857143		
349	A	LTR-TE609	0.23	0.164286		
350	A	LTR-TE611	1.91	1.36429		
351	A	LTR-TE612	6.28	4.48571		
352	A	LTR-TE613	0.25	0.178571		
353	A	LTR-TE614	0.74	0.528571		
354	A	LTR-TE615	1.06	0.757143		
355	A	LTR-TE616	2.14	1.52857		
356	A	LTR-TE619	0.95	0.678571		
357	A	LTR-TE620	0.79	0.564286		
358	A	LTR-TE621	1.15	0.821429		
359	A	LTR-TE622	1.35	0.964286		
360	A	LTR-TE628	1.81	1.29286		
361	A	LTR-TE630	0.19	0.135714		
362	A	LTR-TE632	1.33	0.95		
363	A	LTR-TE634	0.78	0.557143		
364	A	LTR-TE635	0.68	0.485714		
365	A	LTR-TE637	0.21	0.15		
366	A	LTR-TE642	2.5	1.78571		
367	A	LTR-TE645	1.42	1.01429		
368	A	LTR-TE646	3.88	2.77143		
369	A	LTR-TE648	1.53	1.09286		
370	A	LTR-TE649	1.55	1.10714		
371	A	LTR-TE652	1.15	0.821429		
372	A	LTR-TE653	0.71	0.507143		
373	A	LTR-TE655	1.94	1.38571		
374	A	LTR-TE659	1.06	0.757143		
375	A	LTR-TE660	2.68	1.91429		
376	A	LTR-TE661	2.39	1.70714		
377	A	LTR-TE663	7.99	5.70714		
378	A	LTR-TE667	2.05	1.46429		
379	A	LTR-TE669	2.28	1.62857		
380	A	LTR-TE672	1.73	1.23571		
381	A	LTR-TE676	0.53	0.378571		
382	A	LTR-TE677	0.71	0.507143		
383	A	LTR-TE678	0.26	0.185714		
384	A	LTR-TE683	3.1	2.21429		
385	A	LTR-TE687	0.58	0.414286		
386	A	LTR-TE688	0.25	0.178571		
387	A	LTR-TE689	3.09	2.20714		
388	A	LTR-TE690	2.81	2.00714		
389	A	LTR-TE694	0.7	0.5		
390	A	LTR-TE695	0.92	0.657143		
391	A	LTR-TE696	0.96	0.685714		
392	A	LTR-TE697	1.32	0.942857		
393	A	LTR-TE699	3.01	2.15		
394	A	LTR-TE701	2.84	2.02857		
395	A	LTR-TE703	0.56	0.4		
396	A	LTR-TE704	6.14	4.38571		
397	A	LTR-TE708	4.01	2.86429		
398	A	LTR-TE713	0.25	0.178571		
399	A	LTR-TE714	8.83	6.30714		
400	A	LTR-TE715	0.28	0.2		
401	A	LTR-TE717	2.05	1.46429		
402	A	LTR-TE718	2.22	1.58571		
403	A	LTR-TE719	2.15	1.53571		
404	A	LTR-TE720	1.97	1.40714		
405	A	LTR-TE722	0.85	0.607143		
406	A	LTR-TE725	0.99	0.707143		
407	A	LTR-TE729	8.58	6.12857		
408	A	LTR-TE731	0.25	0.178571		
409	A	LTR-TE732	1.44	1.02857		
410	A	LTR-TE735	0.51	0.364286		
411	A	LTR-TE736	1.04	0.742857		
412	A	LTR-TE737	4.16	2.97143		
413	A	LTR-TE739	2.46	1.75714		
414	A	LTR-TE740	0.84	0.6		
415	A	LTR-TE741	1.41	1.00714		
416	A	LTR-TE743	1.88	1.34286		
417	A	LTR-TE744	2.07	1.47857		
418	A	LTR-TE745	1.49	1.06429		
419	A	LTR-TE746	0.44	0.314286		
420	A	LTR-TE747	1.06	0.757143		
421	A	LTR-TE748	0.44	0.314286		
422	A	LTR-TE751	0.71	0.507143		
423	A	LTR-TE754	1.21	0.864286		
424	A	LTR-TE755	0.95	0.678571		
425	A	LTR-TE757	2.35	1.67857		
426	A	LTR-TE759	2.01	1.43571		
427	A	LTR-TE760	0.79	0.564286		
428	A	LTR-TE763	0.32	0.228571		
429	A	LTR-TE764	1.76	1.25714		
430	A	LTR-TE766	1.95	1.39286		
431	A	LTR-TE767	2.66	1.9		
432	A	LTR-TE769	0.87	0.621429		
433	A	LTR-TE770	1.42	1.01429		
434	A	LTR-TE771	0.29	0.207143		
435	A	LTR-TE773	7.37	5.26429		
436	A	LTR-TE775	0.71	0.507143		
437	A	LTR-TE776	0.16	0.114286		
438	A	LTR-TE785	0.45	0.321429		
439	A	LTR-TE788	0.61	0.435714		
440	A	LTR-TE789	2.73	1.95		
441	A	LTR-TE790	1.61	1.15		
442	A	LTR-TE792	1.17	0.835714		
443	A	LTR-TE794	2.65	1.89286		
444	A	LTR-TE795	0.96	0.685714		
445	A	LTR-TE796	0.29	0.207143		
446	A	LTR-TE807	0.77	0.55		
447	A	LTR-TE808	0.35	0.25		
448	A	LTR-TE810	0	0		
449	A	LTR-TE811	0.66	0.471429		
450	A	LTR-TE816	0.39	0.278571		
451	A	LTR-TE817	1.22	0.871429		
452	A	LTR-TE823	0	0		
453	A	LTR-TE824	0.71	0.507143		
454	A	LTR-TE825	0.55	0.392857		
455	A	LTR-TE827	3.15	2.25		
456	A	LTR-TE829	2.42	1.72857		
457	A	LTR-TE833	1.81	1.29286		
458	A	LTR-TE838	1.92	1.37143		
459	A	LTR-TE839	0.25	0.178571		
460	A	LTR-TE841	2	1.42857		
461	A	LTR-TE843	2.6	1.85714		
462	A	LTR-TE851	2.79	1.99286		
463	A	LTR-TE852	1.1	0.785714		
464	A	LTR-TE853	2.5	1.78571		
465	A	LTR-TE854	1.25	0.892857		
466	A	LTR-TE855	3.03	2.16429		
467	A	LTR-TE857	1.14	0.814286		
468	A	LTR-TE858	0.95	0.678571		
469	A	LTR-TE859	1.83	1.30714		
470	A	LTR-TE863	3.26	2.32857		
471	A	LTR-TE866	2.25	1.60714		
472	A	LTR-TE868	1.42	1.01429		
473	A	LTR-TE869	3.21	2.29286		
474	A	LTR-TE870	0.37	0.264286		
475	A	LTR-TE871	1.3	0.928571		
476	A	LTR-TE872	2.39	1.70714		
477	A	LTR-TE875	2.05	1.46429		
478	A	LTR-TE877	0.03	0.0214286		
479	A	LTR-TE878	5.47	3.90714		
480	A	LTR-TE882	2.08	1.48571		
481	A	LTR-TE884	0	0		
482	A	LTR-TE885	1.59	1.13571		
483	A	LTR-TE887	2.22	1.58571		
484	A	LTR-TE888	1.34	0.957143		
485	A	LTR-TE896	0.59	0.421429		
486	A	LTR-TE897	0.29	0.207143		
487	A	LTR-TE899	1.44	1.02857		
488	A	LTR-TE900	0.43	0.307143		
489	A	LTR-TE906	0.73	0.521429		
490	A	LTR-TE908	1.52	1.08571		
491	A	LTR-TE911	3.8	2.71429		
492	A	LTR-TE912	1.51	1.07857		
493	A	LTR-TE913	0.93	0.664286		
494	A	LTR-TE919	1.16	0.828571		
495	A	LTR-TE920	1.1	0.785714		
496	A	LTR-TE921	1.08	0.771429		
497	A	LTR-TE925	0.84	0.6		
498	A	LTR-TE932	1.56	1.11429		
499	A	LTR-TE934	1.48	1.05714		
500	A	LTR-TE935	0.25	0.178571		
501	A	LTR-TE938	1.29	0.921429		
502	A	LTR-TE941	8.33	5.95		
503	A	LTR-TE943	0.46	0.328571		
504	A	LTR-TE944	3.44	2.45714		
505	A	LTR-TE946	1.28	0.914286		
506	A	LTR-TE948	5.29	3.77857		
507	A	LTR-TE950	1.47	1.05		
508	A	LTR-TE952	2.12	1.51429		
509	A	LTR-TE953	2.12	1.51429		
510	A	LTR-TE954	2.12	1.51429		
511	A	LTR-TE955	0	0		
512	A	LTR-TE956	0	0		
513	A	LTR-TE960	1.46	1.04286		
514	A	LTR-TE962	0.3	0.214286		
515	A	LTR-TE963	1.03	0.735714		
516	A	LTR-TE965	6.94	4.95714		
517	A	LTR-TE966	1.07	0.764286		
518	A	LTR-TE967	2.64	1.88571		
519	A	LTR-TE969	1.14	0.814286		
520	A	LTR-TE972	2.25	1.60714		
521	A	LTR-TE973	1.66	1.18571		
522	A	LTR-TE977	0.52	0.371429		
523	A	LTR-TE979	0.66	0.471429		
524	A	LTR-TE980	1.24	0.885714		
525	A	LTR-TE982	3.04	2.17143		
526	A	LTR-TE983	6.22	4.44286		
527	A	LTR-TE985	0.81	0.578571		
528	A	LTR-TE986	1.14	0.814286		
529	A	LTR-TE987	1.05	0.75		
530	A	LTR-TE988	1.83	1.30714		
531	A	LTR-TE991	2.87	2.05		
532	A	LTR-TE992	3.81	2.72143		
533	A	LTR-TE994	7.05	5.03571		
534	A	LTR-TE995	1.43	1.02143		
535	A	LTR-TE996	0.68	0.485714		
536	A	LTR-TE999	0.46	0.328571		
537	A	LTR-TE1000	5.42	3.87143		
538	A	LTR-TE1001	0.87	0.621429		
539	A	LTR-TE1002	4.82	3.44286		
540	A	LTR-TE1003	5.21	3.72143		
541	A	LTR-TE1004	1.79	1.27857		
542	A	LTR-TE1007	2.68	1.91429		
543	A	LTR-TE1008	1.37	0.978571		
544	A	LTR-TE1009	2.8	2		
545	A	LTR-TE1011	1.42	1.01429		
546	A	LTR-TE1012	1.55	1.10714		
547	A	LTR-TE1013	0.86	0.614286		
548	A	LTR-TE1014	8.81	6.29286		
549	A	LTR-TE1018	0.44	0.314286		
550	A	LTR-TE1019	4.01	2.86429		
551	A	LTR-TE1023	1.21	0.864286		
552	A	LTR-TE1024	1.99	1.42143		
553	A	LTR-TE1026	0.57	0.407143		
554	A	LTR-TE1028	0.57	0.407143		
555	A	LTR-TE1029	1.26	0.9		
556	A	LTR-TE1032	2.15	1.53571		
557	A	LTR-TE1035	6.06	4.32857		
558	A	LTR-TE1036	0.56	0.4		
559	A	LTR-TE1037	0.21	0.15		
560	A	LTR-TE1038	7.55	5.39286		
561	A	LTR-TE1039	1.96	1.4		
562	A	LTR-TE1040	3.22	2.3		
563	A	LTR-TE1042	1.9	1.35714		
564	A	LTR-TE1043	2	1.42857		
565	A	LTR-TE1044	0.35	0.25		
566	A	LTR-TE1054	0.07	0.05		
567	A	LTR-TE1055	1.85	1.32143		
568	A	LTR-TE1059	1.7	1.21429		
569	A	LTR-TE1061	5.41	3.86429		
570	A	LTR-TE1067	0.46	0.328571		
571	A	LTR-TE1069	0.37	0.264286		
572	A	LTR-TE1071	0.12	0.0857143		
573	A	LTR-TE1072	0.96	0.685714		
574	A	LTR-TE1073	2.51	1.79286		
575	A	LTR-TE1082	0.81	0.578571		
576	A	LTR-TE1086	0.28	0.2		
577	A	LTR-TE1089	3.38	2.41429		
578	A	LTR-TE1091	1.97	1.40714		
579	A	LTR-TE1092	1.11	0.792857		
580	A	LTR-TE1093	0.69	0.492857		
581	A	LTR-TE1094	0.49	0.35		
582	A	LTR-TE1096	1.34	0.957143		
583	A	LTR-TE1097	1.94	1.38571		
584	A	LTR-TE1100	2.72	1.94286		
585	A	LTR-TE1101	3.9	2.78571		
586	A	LTR-TE1103	2.55	1.82143		
587	A	LTR-TE1105	0.37	0.264286		
588	A	LTR-TE1113	0.58	0.414286		
589	A	LTR-TE1115	0.57	0.407143		
590	A	LTR-TE1117	1.14	0.814286		
591	A	LTR-TE1119	0.16	0.114286		
592	A	LTR-TE1121	1.17	0.835714		
593	A	LTR-TE1123	7.09	5.06429		
594	A	LTR-TE1126	2.25	1.60714		
595	A	LTR-TE1127	2.43	1.73571		
596	A	LTR-TE1128	1.15	0.821429		
597	A	LTR-TE1131	0.16	0.114286		
598	A	LTR-TE1132	6.32	4.51429		
599	A	LTR-TE1135	0.54	0.385714		
600	A	LTR-TE1136	0.22	0.157143		
601	A	LTR-TE1137	1.59	1.13571		
602	A	LTR-TE1139	0.46	0.328571		
603	A	LTR-TE1141	2.23	1.59286		
604	A	LTR-TE1144	0.84	0.6		
605	A	LTR-TE1145	1.14	0.814286		
606	A	LTR-TE1148	5.03	3.59286		
607	A	LTR-TE1152	0.49	0.35		
608	A	LTR-TE1153	1.2	0.857143		
609	A	LTR-TE1157	4.07	2.90714		
610	A	LTR-TE1160	1.78	1.27143		
611	A	LTR-TE1163	6.75	4.82143		
612	A	LTR-TE1165	1.71	1.22143		
613	A	LTR-TE1166	0.81	0.578571		
614	A	LTR-TE1168	0.16	0.114286		
615	A	LTR-TE1169	0.63	0.45		
616	A	LTR-TE1170	6.91	4.93571		
617	A	LTR-TE1171	6.39	4.56429		
618	A	LTR-TE1176	1.83	1.30714		
619	A	LTR-TE1177	1.32	0.942857		
620	A	LTR-TE1179	1.17	0.835714		
621	A	LTR-TE1180	4.57	3.26429		
622	A	LTR-TE1183	6.83	4.87857		
623	A	LTR-TE1187	1.76	1.25714		
624	A	LTR-TE1188	0.48	0.342857		
625	A	LTR-TE1192	0.62	0.442857		
626	A	LTR-TE1193	1.85	1.32143		
627	A	LTR-TE1194	0.22	0.157143		
628	A	LTR-TE1195	2.66	1.9		
629	A	LTR-TE1197	1.34	0.957143		
630	A	LTR-TE1198	1.37	0.978571		
631	A	LTR-TE1199	3.26	2.32857		
632	A	LTR-TE1200	1.28	0.914286		
633	A	LTR-TE1202	0.9	0.642857		
634	A	LTR-TE1203	0.22	0.157143		
635	A	LTR-TE1204	2.56	1.82857		
636	A	LTR-TE1205	0.57	0.407143		
637	A	LTR-TE1209	0.6	0.428571		
