line	name	dist	year	genome	type
125	LTR-TE3077	1.29	0.921429	A	DIRS
126	LTR-TE3082	-0.00	0	A	DIRS
127	LTR-TE3105	3.46	2.47143	A	DIRS
128	LTR-TE3135	8.25	5.89286	A	DIRS
129	LTR-TE3137	0.79	0.564286	A	DIRS
130	LTR-TE3158	0.64	0.457143	A	DIRS
131	LTR-TE3161	4.71	3.36429	A	DIRS
132	LTR-TE3165	7.93	5.66429	A	DIRS
133	LTR-TE3183	2.26	1.61429	A	DIRS
134	LTR-TE3297	4.95	3.53571	A	DIRS
135	LTR-TE3298	3.57	2.55	A	DIRS
136	LTR-TE3315	2.60	1.85714	A	DIRS
137	LTR-TE3349	2.93	2.09286	A	DIRS
138	LTR-TE3447	3.73	2.66429	A	DIRS
139	LTR-TE3493	3.33	2.37857	A	DIRS
140	LTR-TE3496	0.77	0.55	A	DIRS
141	LTR-TE3523	6.96	4.97143	A	DIRS
142	LTR-TE3532	0.91	0.65	A	DIRS
143	LTR-TE3552	2.08	1.48571	A	DIRS
144	LTR-TE3596	6.51	4.65	A	DIRS
145	LTR-TE3601	2.69	1.92143	A	DIRS
146	LTR-TE3602	0.81	0.578571	A	DIRS
147	LTR-TE3619	0.53	0.378571	A	DIRS
148	LTR-TE3642	5.31	3.79286	A	DIRS
149	LTR-TE3643	0.79	0.564286	A	DIRS
150	LTR-TE3655	4.09	2.92143	A	DIRS
151	LTR-TE3665	1.17	0.835714	A	DIRS
152	LTR-TE3698	1.23	0.878571	A	DIRS
153	LTR-TE3740	3.15	2.25	A	DIRS
154	LTR-TE3812	0.97	0.692857	A	DIRS
155	LTR-TE3851	4.70	3.35714	A	DIRS
156	LTR-TE3852	3.89	2.77857	A	DIRS
157	LTR-TE3854	0.29	0.207143	A	DIRS
158	LTR-TE3916	1.62	1.15714	A	DIRS
159	LTR-TE3932	1.77	1.26429	A	DIRS
160	LTR-TE3970	10.89	7.77857	A	DIRS
161	LTR-TE4012	0.44	0.314286	A	DIRS
162	LTR-TE4026	2.17	1.55	A	DIRS
163	LTR-TE4028	0.40	0.285714	A	DIRS
164	LTR-TE4070	1.67	1.19286	A	DIRS
165	LTR-TE4081	0.98	0.7	A	DIRS
166	LTR-TE4089	0.29	0.207143	A	DIRS
167	LTR-TE4090	-0.00	0	A	DIRS
168	LTR-TE4091	0.57	0.407143	A	DIRS
169	LTR-TE4104	0.76	0.542857	A	DIRS
170	LTR-TE4131	0.79	0.564286	A	DIRS
171	LTR-TE4160	0.53	0.378571	A	DIRS
172	LTR-TE4178	15.16	10.8286	A	DIRS
173	LTR-TE4187	2.10	1.5	A	DIRS
174	LTR-TE4205	1.65	1.17857	A	DIRS
175	LTR-TE4225	2.54	1.81429	A	DIRS
176	LTR-TE4242	2.81	2.00714	A	DIRS
177	LTR-TE4243	0.33	0.235714	A	DIRS
178	LTR-TE4247	2.62	1.87143	A	DIRS
179	LTR-TE4252	1.70	1.21429	A	DIRS
180	LTR-TE4285	0.46	0.328571	A	DIRS
181	LTR-TE4313	4.08	2.91429	A	DIRS
182	LTR-TE4315	1.15	0.821429	A	DIRS
183	LTR-TE4341	0.91	0.65	A	DIRS
184	LTR-TE4379	1.76	1.25714	A	DIRS
185	LTR-TE4443	2.82	2.01429	A	DIRS
186	LTR-TE4463	0.80	0.571429	A	DIRS
187	LTR-TE4476	0.28	0.2	A	DIRS
188	LTR-TE4492	0.32	0.228571	A	DIRS
189	LTR-TE4496	0.63	0.45	A	DIRS
190	LTR-TE4505	1.33	0.95	A	DIRS
191	LTR-TE4517	1.94	1.38571	A	DIRS
192	LTR-TE4530	0.92	0.657143	A	DIRS
193	LTR-TE4561	0.70	0.5	A	DIRS
194	LTR-TE4638	0.36	0.257143	A	DIRS
195	LTR-TE4652	0.56	0.4	A	DIRS
196	LTR-TE4693	1.45	1.03571	A	DIRS
197	LTR-TE4717	0.82	0.585714	A	DIRS
198	LTR-TE4721	0.66	0.471429	A	DIRS
199	LTR-TE4734	0.44	0.314286	A	DIRS
200	LTR-TE4735	2.92	2.08571	A	DIRS
201	LTR-TE4736	3.25	2.32143	A	DIRS
202	LTR-TE4741	2.08	1.48571	A	DIRS
203	LTR-TE4798	1.79	1.27857	A	DIRS
204	LTR-TE4838	0.16	0.114286	A	DIRS
205	LTR-TE4873	0.57	0.407143	A	DIRS
206	LTR-TE4879	0.77	0.55	A	DIRS
207	LTR-TE4885	2.31	1.65	A	DIRS
208	LTR-TE4889	14.65	10.4643	A	DIRS
209	LTR-TE4903	3.71	2.65	A	DIRS
210	LTR-TE4905	5.73	4.09286	A	DIRS
211	LTR-TE4912	0.60	0.428571	A	DIRS
212	LTR-TE4916	0.66	0.471429	A	DIRS
213	LTR-TE5024	0.19	0.135714	A	DIRS
214	LTR-TE5082	0.68	0.485714	A	DIRS
215	LTR-TE5094	2.76	1.97143	A	DIRS
216	LTR-TE5095	0.68	0.485714	A	DIRS
217	LTR-TE5126	6.49	4.63571	A	DIRS
218	LTR-TE5160	3.10	2.21429	A	DIRS
219	LTR-TE5183	2.42	1.72857	A	DIRS
220	LTR-TE5191	5.59	3.99286	A	DIRS
221	LTR-TE5192	1.48	1.05714	A	DIRS
222	LTR-TE5194	1.95	1.39286	A	DIRS
223	LTR-TE5195	1.74	1.24286	A	DIRS
224	LTR-TE5234	1.96	1.4	A	DIRS
225	LTR-TE5287	6.79	4.85	A	DIRS
226	LTR-TE5297	1.33	0.95	A	DIRS
227	LTR-TE5305	2.11	1.50714	A	DIRS
228	LTR-TE5309	1.06	0.757143	A	DIRS
229	LTR-TE5317	2.33	1.66429	A	DIRS
230	LTR-TE5330	9.69	6.92143	A	DIRS
231	LTR-TE5331	2.00	1.42857	A	DIRS
232	LTR-TE5381	2.00	1.42857	A	DIRS
233	LTR-TE5397	1.30	0.928571	A	DIRS
234	LTR-TE5398	2.00	1.42857	A	DIRS
235	LTR-TE5418	1.14	0.814286	A	DIRS
236	LTR-TE5427	0.37	0.264286	A	DIRS
237	LTR-TE5447	0.67	0.478571	A	DIRS
238	LTR-TE5448	0.51	0.364286	A	DIRS
239	LTR-TE5487	0.38	0.271429	A	DIRS
240	LTR-TE5489	0.91	0.65	A	DIRS
241	LTR-TE5534	0.37	0.264286	A	DIRS
242	LTR-TE5537	6.34	4.52857	A	DIRS
243	LTR-TE5556	1.28	0.914286	A	DIRS
244	LTR-TE5557	-0.00	0	A	DIRS
245	LTR-TE5558	0.57	0.407143	A	DIRS
246	LTR-TE5559	-0.00	0	A	DIRS
247	LTR-TE5560	0.57	0.407143	A	DIRS
248	LTR-TE5600	2.10	1.5	A	DIRS
249	LTR-TE5612	0.77	0.55	A	DIRS
250	LTR-TE5618	0.49	0.35	A	DIRS
251	LTR-TE5632	0.70	0.5	A	DIRS
252	LTR-TE5640	3.06	2.18571	A	DIRS
253	LTR-TE5653	1.20	0.857143	A	DIRS
254	LTR-TE5666	0.88	0.628571	A	DIRS
255	LTR-TE5699	3.44	2.45714	A	DIRS
256	LTR-TE5713	1.03	0.735714	A	DIRS
257	LTR-TE5722	1.39	0.992857	A	DIRS
258	LTR-TE5798	0.94	0.671429	A	DIRS
259	LTR-TE5808	0.12	0.0857143	A	DIRS
260	LTR-TE5819	7.09	5.06429	A	DIRS
261	LTR-TE5823	0.75	0.535714	A	DIRS
262	LTR-TE5853	0.53	0.378571	A	DIRS
263	LTR-TE5865	3.50	2.5	A	DIRS
264	LTR-TE5884	0.22	0.157143	A	DIRS
265	LTR-TE5885	7.36	5.25714	A	DIRS
266	LTR-TE5886	0.63	0.45	A	DIRS
267	LTR-TE5920	7.48	5.34286	A	DIRS
268	LTR-TE6051	2.42	1.72857	A	DIRS
269	LTR-TE6066	0.56	0.4	A	DIRS
270	LTR-TE6153	2.76	1.97143	A	DIRS
271	LTR-TE6156	3.77	2.69286	A	DIRS
272	LTR-TE6157	0.99	0.707143	A	DIRS
273	LTR-TE6209	1.30	0.928571	A	DIRS
274	LTR-TE6218	1.51	1.07857	A	DIRS
275	LTR-TE6219	4.62	3.3	A	DIRS
276	LTR-TE6241	0.28	0.2	A	DIRS
277	LTR-TE6302	2.67	1.90714	A	DIRS
278	LTR-TE6310	1.14	0.814286	A	DIRS
279	LTR-TE6322	0.20	0.142857	A	DIRS
280	LTR-TE6324	3.15	2.25	A	DIRS
281	LTR-TE6380	0.41	0.292857	A	DIRS
282	LTR-TE6400	0.92	0.657143	A	DIRS
283	LTR-TE6439	1.37	0.978571	A	DIRS
284	LTR-TE6451	0.64	0.457143	A	DIRS
285	LTR-TE6452	0.19	0.135714	A	DIRS
286	LTR-TE6502	0.63	0.45	A	DIRS
287	LTR-TE6503	0.28	0.2	A	DIRS
288	LTR-TE6504	0.22	0.157143	A	DIRS
289	LTR-TE6564	1.68	1.2	A	DIRS
290	LTR-TE6611	0.82	0.585714	A	DIRS
291	LTR-TE6618	0.47	0.335714	A	DIRS
292	LTR-TE6635	0.66	0.471429	A	DIRS
293	LTR-TE6636	1.15	0.821429	A	DIRS
294	LTR-TE6637	9.83	7.02143	A	DIRS
295	LTR-TE6638	1.32	0.942857	A	DIRS
296	LTR-TE6661	8.22	5.87143	A	DIRS
297	LTR-TE6670	1.17	0.835714	A	DIRS
298	LTR-TE6695	0.86	0.614286	A	DIRS
299	LTR-TE6696	-0.00	0	A	DIRS
300	LTR-TE6697	-0.00	0	A	DIRS
301	LTR-TE6716	0.96	0.685714	A	DIRS
302	LTR-TE6751	5.40	3.85714	A	DIRS
303	LTR-TE6752	6.65	4.75	A	DIRS
304	LTR-TE6775	1.09	0.778571	A	DIRS
305	LTR-TE6795	0.98	0.7	A	DIRS
306	LTR-TE6826	0.28	0.2	A	DIRS
307	LTR-TE6855	2.94	2.1	A	DIRS
308	LTR-TE6875	1.70	1.21429	A	DIRS
309	LTR-TE6931	11.44	8.17143	A	DIRS
310	LTR-TE6959	1.74	1.24286	A	DIRS
311	LTR-TE6991	1.32	0.942857	A	DIRS
312	LTR-TE7003	1.88	1.34286	A	DIRS
313	LTR-TE7005	1.16	0.828571	A	DIRS
314	LTR-TE7025	3.11	2.22143	A	DIRS
315	LTR-TE7073	0.26	0.185714	A	DIRS
316	LTR-TE7114	0.79	0.564286	A	DIRS
317	LTR-TE7186	1.52	1.08571	A	DIRS
318	LTR-TE7257	1.54	1.1	A	DIRS
319	LTR-TE7274	0.60	0.428571	A	DIRS
320	LTR-TE7285	0.55	0.392857	A	DIRS
321	LTR-TE7286	1.16	0.828571	A	DIRS
322	LTR-TE7313	2.13	1.52143	A	DIRS
323	LTR-TE7316	-0.00	0	A	DIRS
324	LTR-TE7368	0.60	0.428571	A	DIRS
325	LTR-TE7374	1.74	1.24286	A	DIRS
326	LTR-TE7384	5.19	3.70714	A	DIRS
327	LTR-TE7385	0.67	0.478571	A	DIRS
328	LTR-TE7398	0.83	0.592857	A	DIRS
329	LTR-TE7502	1.01	0.721429	A	DIRS
330	LTR-TE7522	5.46	3.9	A	DIRS
331	LTR-TE7523	3.52	2.51429	A	DIRS
332	LTR-TE7622	0.31	0.221429	A	DIRS
333	LTR-TE7668	1.80	1.28571	A	DIRS
334	LTR-TE7679	0.22	0.157143	A	DIRS
335	LTR-TE7774	2.60	1.85714	A	DIRS
336	LTR-TE7792	0.31	0.221429	A	DIRS
337	LTR-TE7803	1.58	1.12857	A	DIRS
338	LTR-TE7857	0.89	0.635714	A	DIRS
339	LTR-TE7940	2.79	1.99286	A	DIRS
340	LTR-TE7949	2.25	1.60714	A	DIRS
341	LTR-TE7957	1.68	1.2	A	DIRS
342	LTR-TE7973	0.99	0.707143	A	DIRS
343	LTR-TE7983	5.80	4.14286	A	DIRS
344	LTR-TE8048	3.23	2.30714	A	DIRS
345	LTR-TE8049	1.59	1.13571	A	DIRS
346	LTR-TE8062	7.38	5.27143	A	DIRS
347	LTR-TE8074	11.66	8.32857	A	DIRS
348	LTR-TE8082	2.20	1.57143	A	DIRS
349	LTR-TE8088	2.46	1.75714	A	DIRS
350	LTR-TE8091	1.69	1.20714	A	DIRS
351	LTR-TE8103	3.29	2.35	A	DIRS
352	LTR-TE8117	1.98	1.41429	A	DIRS
353	LTR-TE8137	2.55	1.82143	A	DIRS
354	LTR-TE8148	3.27	2.33571	A	DIRS
355	LTR-TE8209	0.84	0.6	A	DIRS
356	LTR-TE8210	0.57	0.407143	A	DIRS
357	LTR-TE8211	0.79	0.564286	A	DIRS
358	LTR-TE8230	0.69	0.492857	A	DIRS
359	LTR-TE8305	0.84	0.6	A	DIRS
360	LTR-TE8311	-0.00	0	A	DIRS
361	LTR-TE8312	-0.00	0	A	DIRS
362	LTR-TE8313	-0.00	0	A	DIRS
363	LTR-TE8354	0.76	0.542857	A	DIRS
364	LTR-TE8363	0.71	0.507143	A	DIRS
365	LTR-TE8399	0.59	0.421429	A	DIRS
366	LTR-TE8401	0.95	0.678571	A	DIRS
367	LTR-TE8402	2.39	1.70714	A	DIRS
368	LTR-TE8460	0.51	0.364286	A	DIRS
369	LTR-TE8461	0.42	0.3	A	DIRS
370	LTR-TE8541	5.89	4.20714	A	DIRS
371	LTR-TE8630	5.24	3.74286	A	DIRS
372	LTR-TE8631	1.75	1.25	A	DIRS
373	LTR-TE8632	1.51	1.07857	A	DIRS
374	LTR-TE8651	0.30	0.214286	A	DIRS
375	LTR-TE8673	0.67	0.478571	A	DIRS
376	LTR-TE8676	4.85	3.46429	A	DIRS
377	LTR-TE8705	0.49	0.35	A	DIRS
378	LTR-TE8708	1.85	1.32143	A	DIRS
379	LTR-TE8709	3.49	2.49286	A	DIRS
380	LTR-TE8743	2.04	1.45714	A	DIRS
381	LTR-TE8749	0.99	0.707143	A	DIRS
382	LTR-TE8790	1.02	0.728571	A	DIRS
383	LTR-TE8792	2.88	2.05714	A	DIRS
384	LTR-TE8808	0.77	0.55	A	DIRS
385	LTR-TE8828	3.67	2.62143	A	DIRS
386	LTR-TE8836	4.62	3.3	A	DIRS
387	LTR-TE8837	0.87	0.621429	A	DIRS
388	LTR-TE8849	4.34	3.1	A	DIRS
389	LTR-TE8857	4.67	3.33571	A	DIRS
390	LTR-TE8876	0.91	0.65	A	DIRS
391	LTR-TE8898	0.77	0.55	A	DIRS
392	LTR-TE8902	1.00	0.714286	A	DIRS
393	LTR-TE8910	1.58	1.12857	A	DIRS
394	LTR-TE9007	1.69	1.20714	A	DIRS
395	LTR-TE9016	0.66	0.471429	A	DIRS
396	LTR-TE9031	1.21	0.864286	A	DIRS
397	LTR-TE9042	0.89	0.635714	A	DIRS
398	LTR-TE9064	3.79	2.70714	A	DIRS
399	LTR-TE9072	4.25	3.03571	A	DIRS
400	LTR-TE9093	2.74	1.95714	A	DIRS
401	LTR-TE9121	1.21	0.864286	A	DIRS
402	LTR-TE9140	0.69	0.492857	A	DIRS
403	LTR-TE9178	0.48	0.342857	A	DIRS
404	LTR-TE9204	7.14	5.1	A	DIRS
405	LTR-TE9227	1.51	1.07857	A	DIRS
406	LTR-TE9229	1.97	1.40714	A	DIRS
407	LTR-TE9255	3.85	2.75	A	DIRS
408	LTR-TE9259	0.82	0.585714	A	DIRS
409	LTR-TE9260	0.82	0.585714	A	DIRS
410	LTR-TE9261	2.79	1.99286	A	DIRS
411	LTR-TE9263	0.88	0.628571	A	DIRS
412	LTR-TE9264	0.22	0.157143	A	DIRS
413	LTR-TE9273	0.49	0.35	A	DIRS
414	LTR-TE9316	0.26	0.185714	A	DIRS
415	LTR-TE9329	0.60	0.428571	A	DIRS
416	LTR-TE9330	4.03	2.87857	A	DIRS
417	LTR-TE9334	1.01	0.721429	A	DIRS
418	LTR-TE9353	0.38	0.271429	A	DIRS
419	LTR-TE9360	-0.00	0	A	DIRS
420	LTR-TE9395	0.67	0.478571	A	DIRS
421	LTR-TE9425	2.23	1.59286	A	DIRS
422	LTR-TE9433	1.60	1.14286	A	DIRS
423	LTR-TE9478	-0.00	0	A	DIRS
424	LTR-TE9479	0.60	0.428571	A	DIRS
425	LTR-TE9485	1.01	0.721429	A	DIRS
426	LTR-TE9500	0.87	0.621429	A	DIRS
427	LTR-TE9501	0.34	0.242857	A	DIRS
428	LTR-TE9527	0.52	0.371429	A	DIRS
429	LTR-TE9553	7.01	5.00714	A	DIRS
430	LTR-TE9571	0.65	0.464286	A	DIRS
431	LTR-TE9577	3.44	2.45714	A	DIRS
432	LTR-TE9580	0.74	0.528571	A	DIRS
433	LTR-TE9608	3.38	2.41429	A	DIRS
434	LTR-TE9657	2.52	1.8	A	DIRS
435	LTR-TE9680	0.15	0.107143	A	DIRS
436	LTR-TE9729	1.21	0.864286	A	DIRS
437	LTR-TE9858	1.62	1.15714	A	DIRS
438	LTR-TE9906	0.18	0.128571	A	DIRS
439	LTR-TE9917	2.98	2.12857	A	DIRS
440	LTR-TE9928	2.62	1.87143	A	DIRS
441	LTR-TE9941	0.37	0.264286	A	DIRS
442	LTR-TE9943	1.30	0.928571	A	DIRS
443	LTR-TE9975	3.70	2.64286	A	DIRS
444	LTR-TE10012	0.84	0.6	A	DIRS
445	LTR-TE10043	0.89	0.635714	A	DIRS
446	LTR-TE10130	4.54	3.24286	A	DIRS
447	LTR-TE10131	8.27	5.90714	A	DIRS
448	LTR-TE10150	2.15	1.53571	A	DIRS
449	LTR-TE10179	4.70	3.35714	A	DIRS
450	LTR-TE10195	0.92	0.657143	A	DIRS
451	LTR-TE10212	1.53	1.09286	A	DIRS
452	LTR-TE10257	6.95	4.96429	A	DIRS
453	LTR-TE10291	-0.00	0	A	DIRS
454	LTR-TE10292	0.53	0.378571	A	DIRS
455	LTR-TE10305	1.32	0.942857	A	DIRS
456	LTR-TE10331	2.12	1.51429	A	DIRS
457	LTR-TE10354	1.23	0.878571	A	DIRS
458	LTR-TE10378	1.28	0.914286	A	DIRS
459	LTR-TE10383	2.01	1.43571	A	DIRS
460	LTR-TE10392	1.28	0.914286	A	DIRS
461	LTR-TE10470	0.15	0.107143	A	DIRS
462	LTR-TE10524	2.14	1.52857	A	DIRS
463	LTR-TE10554	1.42	1.01429	A	DIRS
464	LTR-TE10617	0.51	0.364286	A	DIRS
465	LTR-TE10624	0.95	0.678571	A	DIRS
466	LTR-TE10626	9.75	6.96429	A	DIRS
467	LTR-TE10639	3.10	2.21429	A	DIRS
468	LTR-TE10662	0.95	0.678571	A	DIRS
469	LTR-TE10684	1.68	1.2	A	DIRS
470	LTR-TE10759	0.48	0.342857	A	DIRS
471	LTR-TE10774	1.42	1.01429	A	DIRS
472	LTR-TE10785	1.14	0.814286	A	DIRS
473	LTR-TE10802	1.56	1.11429	A	DIRS
474	LTR-TE10818	0.20	0.142857	A	DIRS
475	LTR-TE10830	1.44	1.02857	A	DIRS
476	LTR-TE10869	2.06	1.47143	A	DIRS
477	LTR-TE10932	1.85	1.32143	A	DIRS
478	LTR-TE10940	0.62	0.442857	A	DIRS
479	LTR-TE10954	3.14	2.24286	A	DIRS
480	LTR-TE10957	0.88	0.628571	A	DIRS
481	LTR-TE10977	3.81	2.72143	A	DIRS
482	LTR-TE10989	0.77	0.55	A	DIRS
483	LTR-TE11026	6.79	4.85	A	DIRS
484	LTR-TE11040	5.88	4.2	A	DIRS
485	LTR-TE11044	1.20	0.857143	A	DIRS
486	LTR-TE11080	0.77	0.55	A	DIRS
487	LTR-TE11172	3.17	2.26429	A	DIRS
488	LTR-TE11180	6.81	4.86429	A	DIRS
489	LTR-TE11188	3.14	2.24286	A	DIRS
490	LTR-TE11190	2.85	2.03571	A	DIRS
491	LTR-TE11210	2.79	1.99286	A	DIRS
492	LTR-TE11287	8.37	5.97857	A	DIRS
493	LTR-TE11315	1.57	1.12143	A	DIRS
494	LTR-TE11318	1.94	1.38571	A	DIRS
495	LTR-TE11367	2.40	1.71429	A	DIRS
496	LTR-TE11368	1.80	1.28571	A	DIRS
497	LTR-TE11370	2.82	2.01429	A	DIRS
498	LTR-TE11378	1.36	0.971429	A	DIRS
499	LTR-TE11456	0.53	0.378571	A	DIRS
500	LTR-TE11473	1.34	0.957143	A	DIRS
501	LTR-TE11475	4.10	2.92857	A	DIRS
502	LTR-TE11482	1.34	0.957143	A	DIRS
503	LTR-TE11578	2.34	1.67143	A	DIRS
504	LTR-TE11579	1.23	0.878571	A	DIRS
505	LTR-TE11596	5.13	3.66429	A	DIRS
506	LTR-TE11663	3.15	2.25	A	DIRS
507	LTR-TE11664	2.24	1.6	A	DIRS
508	LTR-TE11674	6.36	4.54286	A	DIRS
509	LTR-TE11706	0.80	0.571429	A	DIRS
510	LTR-TE11708	0.99	0.707143	A	DIRS
511	LTR-TE11721	1.66	1.18571	A	DIRS
512	LTR-TE11722	3.58	2.55714	A	DIRS
513	LTR-TE11723	4.73	3.37857	A	DIRS
514	LTR-TE11774	0.10	0.0714286	A	DIRS
515	LTR-TE11777	0.89	0.635714	A	DIRS
516	LTR-TE11792	1.57	1.12143	A	DIRS
517	LTR-TE11794	0.76	0.542857	A	DIRS
518	LTR-TE11797	4.80	3.42857	A	DIRS
519	LTR-TE11804	1.37	0.978571	A	DIRS
520	LTR-TE11813	0.48	0.342857	A	DIRS
521	LTR-TE11836	4.61	3.29286	A	DIRS
522	LTR-TE11864	0.70	0.5	A	DIRS
523	LTR-TE12055	1.95	1.39286	A	DIRS
