line	Chr	dist	genome
395	Chr01	5200	A
396	Chr01	17066	A
397	Chr01	4885	A
398	Chr01	12307	A
399	Chr01	2377	A
400	Chr01	60203	A
401	Chr01	34941	A
402	Chr01	1835	A
403	Chr01	5050	A
404	Chr01	5034	A
405	Chr01	18599	A
406	Chr01	4153	A
407	Chr01	4218	A
408	Chr01	24095	A
409	Chr01	7551	A
410	Chr01	4615	A
411	Chr01	22221	A
412	Chr01	51807	A
413	Chr01	14121	A
414	Chr01	5681	A
415	Chr01	1494	A
416	Chr01	16562	A
417	Chr01	3706	A
418	Chr01	20088	A
419	Chr01	2771	A
420	Chr01	2323	A
421	Chr01	523	A
422	Chr01	2921	A
423	Chr01	1780	A
424	Chr01	50468	A
425	Chr01	45502	A
426	Chr01	7395	A
427	Chr01	3541	A
428	Chr01	17332	A
429	Chr01	4633	A
430	Chr01	2376	A
431	Chr01	697	A
432	Chr01	16497	A
433	Chr01	12292	A
434	Chr01	3147	A
435	Chr01	16344	A
436	Chr01	5561	A
437	Chr01	25498	A
438	Chr01	5754	A
439	Chr01	2029	A
440	Chr01	51304	A
441	Chr01	34668	A
442	Chr01	509	A
443	Chr01	23627	A
444	Chr01	1870	A
445	Chr01	40575	A
446	Chr01	7050	A
447	Chr01	7145	A
448	Chr01	74000	A
449	Chr01	35886	A
450	Chr01	5821	A
451	Chr01	9637	A
452	Chr01	1354	A
453	Chr01	2430	A
454	Chr01	11307	A
455	Chr01	3566	A
456	Chr01	2474	A
457	Chr01	13392	A
458	Chr01	7297	A
459	Chr01	25460	A
460	Chr01	40337	A
461	Chr01	2314	A
462	Chr01	20153	A
463	Chr01	126	A
464	Chr01	4619	A
465	Chr01	7953	A
466	Chr01	93807	A
467	Chr01	42425	A
468	Chr01	4672	A
469	Chr01	5608	A
470	Chr01	1537	A
471	Chr01	12118	A
472	Chr01	3442	A
473	Chr01	1321	A
474	Chr01	13460	A
475	Chr01	3052	A
476	Chr01	2306	A
477	Chr01	16374	A
478	Chr01	8407	A
479	Chr01	11955	A
480	Chr01	10300	A
481	Chr01	4478	A
482	Chr01	2171	A
483	Chr01	7317	A
484	Chr01	9415	A
485	Chr01	4151	A
486	Chr01	13237	A
487	Chr01	42339	A
488	Chr01	1069	A
489	Chr01	528	A
490	Chr01	3497	A
491	Chr01	3756	A
492	Chr01	50438	A
493	Chr01	1486	A
494	Chr01	421	A
495	Chr01	1107	A
496	Chr01	31783	A
497	Chr01	8033	A
498	Chr01	55845	A
499	Chr01	57748	A
500	Chr01	968	A
501	Chr01	20397	A
502	Chr01	1057	A
503	Chr01	407	A
504	Chr01	47077	A
505	Chr01	245595	A
506	Chr01	43359	A
507	Chr01	30621	A
508	Chr01	2131	A
509	Chr01	115	A
510	Chr01	44612	A
511	Chr01	7849	A
512	Chr01	6002	A
513	Chr01	2741	A
514	Chr01	19559	A
515	Chr01	3364	A
516	Chr01	34042	A
517	Chr01	11159	A
518	Chr01	13604	A
519	Chr01	19102	A
520	Chr01	2669	A
521	Chr01	7326	A
522	Chr01	1300	A
523	Chr01	4175	A
524	Chr01	1130	A
525	Chr01	5863	A
526	Chr01	2475	A
527	Chr01	1366	A
528	Chr01	31757	A
529	Chr01	132	A
530	Chr01	2387	A
531	Chr01	22075	A
532	Chr01	12614	A
533	Chr01	8193	A
534	Chr01	9384	A
535	Chr01	15227	A
536	Chr01	9213	A
537	Chr01	44508	A
538	Chr01	25922	A
539	Chr01	1496	A
540	Chr01	9042	A
541	Chr01	4955	A
542	Chr01	6077	A
543	Chr01	6106	A
544	Chr01	25296	A
545	Chr01	36826	A
546	Chr01	21615	A
547	Chr01	9864	A
548	Chr01	1989	A
549	Chr01	1359	A
550	Chr01	14659	A
551	Chr01	26625	A
552	Chr01	1449	A
553	Chr01	2185	A
554	Chr01	4374	A
555	Chr01	2147	A
556	Chr01	21607	A
557	Chr01	5071	A
558	Chr01	851	A
559	Chr01	4005	A
560	Chr01	27948	A
561	Chr01	71743	A
562	Chr01	21910	A
563	Chr01	1901	A
564	Chr01	10123	A
565	Chr01	93927	A
566	Chr01	8359	A
567	Chr01	30667	A
568	Chr01	37793	A
569	Chr01	26300	A
570	Chr01	75232	A
571	Chr01	643	A
572	Chr01	32944	A
573	Chr01	47302	A
574	Chr01	8572	A
575	Chr01	7652	A
576	Chr01	1235	A
577	Chr01	647	A
578	Chr01	617	A
579	Chr01	3535	A
580	Chr01	381	A
581	Chr01	8	A
582	Chr01	834	A
583	Chr01	28043	A
584	Chr01	256	A
585	Chr01	602	A
586	Chr01	26428	A
587	Chr01	3914	A
588	Chr01	5916	A
589	Chr01	11049	A
590	Chr01	24849	A
591	Chr01	6201	A
592	Chr01	57120	A
593	Chr01	9549	A
594	Chr01	7500	A
595	Chr01	33364	A
596	Chr01	11898	A
597	Chr01	159	A
598	Chr01	370	A
599	Chr01	158	A
600	Chr01	22173	A
601	Chr01	13579	A
602	Chr01	2996	A
603	Chr01	172107	A
604	Chr01	53751	A
605	Chr01	11152	A
606	Chr01	2548	A
607	Chr01	11289	A
608	Chr01	62561	A
609	Chr01	17302	A
610	Chr01	16870	A
611	Chr01	9630	A
612	Chr01	16366	A
613	Chr01	34937	A
614	Chr01	17337	A
615	Chr01	30902	A
616	Chr01	19510	A
617	Chr01	32406	A
618	Chr01	944	A
619	Chr01	7124	A
620	Chr01	1569	A
621	Chr01	23050	A
622	Chr01	39621	A
623	Chr01	10706	A
624	Chr01	1186	A
625	Chr01	2534	A
626	Chr01	7199	A
627	Chr01	9249	A
628	Chr01	7603	A
629	Chr01	829	A
630	Chr01	21364	A
631	Chr01	3995	A
632	Chr01	1430	A
633	Chr01	2430	A
634	Chr01	16058	A
635	Chr01	46856	A
636	Chr01	5385	A
637	Chr01	125523	A
638	Chr01	4267	A
639	Chr01	293	A
640	Chr01	844	A
641	Chr01	1183	A
642	Chr01	23244	A
643	Chr01	7107	A
644	Chr01	4469	A
645	Chr01	16369	A
646	Chr01	37216	A
647	Chr01	13173	A
648	Chr01	103162	A
649	Chr01	20347	A
650	Chr01	2855	A
651	Chr01	5418	A
652	Chr01	3036	A
653	Chr01	591	A
654	Chr01	18980	A
655	Chr01	8053	A
656	Chr01	37962	A
657	Chr01	2136	A
658	Chr01	51984	A
659	Chr01	81135	A
660	Chr01	60367	A
661	Chr01	21560	A
662	Chr01	3381	A
663	Chr01	416	A
664	Chr01	10861	A
665	Chr01	15605	A
666	Chr01	1159	A
667	Chr01	2419	A
668	Chr01	28519	A
669	Chr01	94905	A
670	Chr01	511	A
671	Chr01	45984	A
672	Chr01	1655	A
673	Chr01	10232	A
674	Chr01	56885	A
675	Chr01	37	A
676	Chr01	16305	A
677	Chr01	291	A
678	Chr01	23649	A
679	Chr01	559	A
680	Chr01	60284	A
681	Chr01	4404	A
682	Chr01	749	A
683	Chr01	10010	A
684	Chr01	40357	A
685	Chr01	3985	A
686	Chr01	17961	A
687	Chr01	27227	A
688	Chr01	29079	A
689	Chr01	5396	A
690	Chr01	19275	A
691	Chr01	10876	A
692	Chr01	31722	A
693	Chr01	37264	A
694	Chr01	107457	A
695	Chr01	388228	A
696	Chr01	1385	A
697	Chr01	138083	A
698	Chr01	329	A
699	Chr01	36856	A
700	Chr01	11542	A
701	Chr01	25865	A
702	Chr01	70587	A
703	Chr01	10776	A
704	Chr01	650	A
705	Chr01	29912	A
706	Chr01	3164	A
707	Chr01	145856	A
708	Chr01	42808	A
709	Chr01	3235	A
710	Chr01	7276	A
711	Chr01	9743	A
712	Chr01	3731	A
713	Chr01	5952	A
714	Chr01	1841	A
715	Chr01	21208	A
716	Chr01	13894	A
717	Chr01	37918	A
718	Chr01	34577	A
719	Chr01	873	A
720	Chr01	8055	A
721	Chr01	33305	A
722	Chr01	3069	A
723	Chr01	27112	A
724	Chr01	13485	A
725	Chr01	38483	A
726	Chr01	6296	A
727	Chr01	380	A
728	Chr01	1277	A
729	Chr01	985	A
730	Chr01	21548	A
731	Chr01	330	A
732	Chr01	19243	A
733	Chr01	24799	A
734	Chr01	813	A
735	Chr01	20978	A
736	Chr01	19735	A
737	Chr01	1693	A
738	Chr01	14273	A
739	Chr01	1810	A
740	Chr01	21062	A
741	Chr01	415	A
742	Chr01	46720	A
743	Chr01	21515	A
744	Chr01	25785	A
745	Chr01	7155	A
746	Chr01	2534	A
747	Chr01	6391	A
748	Chr01	2249	A
749	Chr01	59023	A
750	Chr01	3075	A
751	Chr01	23695	A
752	Chr01	14502	A
753	Chr01	92100	A
754	Chr01	12770	A
755	Chr01	9014	A
756	Chr01	87972	A
757	Chr01	42379	A
758	Chr01	537	A
759	Chr01	17774	A
760	Chr01	187344	A
761	Chr01	268158	A
762	Chr01	2260	A
763	Chr01	254	A
764	Chr01	31442	A
765	Chr01	20358	A
766	Chr01	494	A
767	Chr01	334	A
768	Chr01	81059	A
769	Chr01	22690	A
770	Chr01	2981	A
771	Chr01	57371	A
772	Chr01	9859	A
773	Chr01	132127	A
774	Chr01	15755	A
775	Chr01	34652	A
776	Chr01	75279	A
777	Chr01	41283	A
778	Chr01	2277	A
779	Chr01	17499	A
780	Chr01	52101	A
781	Chr01	7390	A
782	Chr01	32928	A
783	Chr01	168	A
784	Chr01	8606	A
785	Chr01	30226	A
786	Chr01	26729	A
787	Chr01	25967	A
788	Chr01	25782	A
789	Chr01	4213	A
790	Chr01	15181	A
791	Chr01	19254	A
792	Chr01	829	A
793	Chr01	92397	A
794	Chr01	54339	A
795	Chr01	34005	A
796	Chr01	6201	A
797	Chr01	9741	A
798	Chr01	657	A
799	Chr01	34735	A
800	Chr01	19397	A
801	Chr01	10816	A
802	Chr01	27670	A
803	Chr01	6950	A
804	Chr01	46744	A
805	Chr01	1989	A
806	Chr01	22821	A
807	Chr01	91131	A
808	Chr01	8392	A
809	Chr01	49423	A
810	Chr01	31999	A
811	Chr01	1733	A
812	Chr01	96114	A
813	Chr01	29004	A
814	Chr01	37473	A
815	Chr01	108156	A
816	Chr01	38869	A
817	Chr01	1923	A
818	Chr01	7135	A
819	Chr01	14929	A
820	Chr01	2146	A
821	Chr01	97247	A
822	Chr01	74218	A
823	Chr01	29928	A
824	Chr01	437	A
825	Chr01	114833	A
826	Chr01	191412	A
827	Chr01	4616	A
828	Chr01	93269	A
829	Chr01	2542	A
830	Chr01	9731	A
831	Chr01	24281	A
832	Chr01	54904	A
833	Chr01	24194	A
834	Chr01	12913	A
835	Chr01	6447	A
836	Chr01	36451	A
837	Chr01	2455	A
838	Chr01	31093	A
839	Chr01	78278	A
840	Chr01	15530	A
841	Chr01	2097	A
842	Chr01	33	A
843	Chr01	13	A
844	Chr01	5167	A
845	Chr01	19169	A
846	Chr01	73821	A
847	Chr01	52984	A
848	Chr01	15559	A
849	Chr01	60953	A
850	Chr01	847	A
851	Chr01	114252	A
852	Chr01	6584	A
853	Chr01	2120	A
854	Chr01	2701	A
855	Chr01	23133	A
856	Chr01	73796	A
857	Chr01	15308	A
858	Chr01	118351	A
859	Chr01	1141	A
860	Chr01	2269	A
861	Chr01	44881	A
862	Chr01	51295	A
863	Chr01	1258	A
864	Chr01	34793	A
865	Chr01	41208	A
866	Chr01	939	A
867	Chr01	9077	A
868	Chr01	750	A
869	Chr01	17340	A
870	Chr01	20640	A
871	Chr01	154252	A
872	Chr01	291	A
873	Chr01	716	A
874	Chr01	21326	A
875	Chr01	7161	A
876	Chr01	42622	A
877	Chr01	98303	A
878	Chr01	7291	A
879	Chr01	39104	A
880	Chr01	25458	A
881	Chr01	22229	A
882	Chr01	10802	A
883	Chr01	307	A
884	Chr01	11031	A
885	Chr01	76634	A
886	Chr01	19727	A
887	Chr01	4299	A
888	Chr01	53401	A
889	Chr01	7281	A
890	Chr01	173606	A
891	Chr01	4550	A
892	Chr01	165048	A
893	Chr01	52198	A
894	Chr01	617	A
895	Chr01	140508	A
896	Chr01	3535	A
897	Chr01	206094	A
898	Chr01	1419	A
899	Chr01	26375	A
900	Chr01	1503	A
901	Chr01	70685	A
902	Chr01	22223	A
903	Chr01	98122	A
904	Chr01	10231	A
905	Chr01	19299	A
906	Chr01	73150	A
907	Chr01	55177	A
908	Chr01	3935	A
909	Chr01	7917	A
910	Chr01	1413	A
911	Chr01	68806	A
912	Chr01	32663	A
913	Chr01	27383	A
914	Chr01	43515	A
915	Chr01	9965	A
916	Chr01	26442	A
917	Chr01	12263	A
918	Chr01	834	A
919	Chr01	18508	A
920	Chr01	21837	A
921	Chr01	2595	A
922	Chr01	25418	A
923	Chr01	54569	A
924	Chr01	11605	A
925	Chr01	26979	A
926	Chr01	24517	A
927	Chr01	19747	A
928	Chr01	67440	A
929	Chr01	31719	A
930	Chr01	22727	A
931	Chr01	4561	A
932	Chr01	2003	A
933	Chr01	19223	A
934	Chr01	2666	A
935	Chr01	1591	A
936	Chr01	62511	A
937	Chr01	12850	A
938	Chr01	2537	A
939	Chr01	61535	A
940	Chr01	5969	A
941	Chr01	30140	A
942	Chr01	65146	A
943	Chr01	83511	A
944	Chr01	114972	A
945	Chr01	365	A
946	Chr01	356	A
947	Chr01	126105	A
948	Chr01	39546	A
949	Chr01	60435	A
950	Chr01	20511	A
951	Chr01	5827	A
952	Chr01	24545	A
953	Chr01	170595	A
954	Chr01	1377	A
955	Chr01	232143	A
956	Chr01	191921	A
957	Chr01	334736	A
958	Chr01	86801	A
959	Chr01	3814	A
960	Chr01	293175	A
961	Chr01	45213	A
962	Chr01	9760	A
963	Chr01	35045	A
964	Chr01	867	A
965	Chr01	4213	A
966	Chr01	33753	A
967	Chr01	29698	A
968	Chr01	31491	A
969	Chr01	119834	A
970	Chr01	142353	A
971	Chr01	849	A
972	Chr01	38451	A
973	Chr01	28462	A
974	Chr01	456134	A
975	Chr01	23243	A
976	Chr01	80069	A
977	Chr01	86262	A
978	Chr01	21617	A
979	Chr01	42955	A
980	Chr01	27133	A
981	Chr01	26037	A
982	Chr01	3923	A
983	Chr01	137429	A
984	Chr01	121029	A
985	Chr01	5367	A
986	Chr01	14871	A
987	Chr01	30	A
988	Chr01	829	A
989	Chr01	635	A
990	Chr01	22398	A
991	Chr01	14974	A
992	Chr01	1486	A
993	Chr01	5922	A
994	Chr01	373	A
995	Chr01	2281	A
996	Chr01	75187	A
997	Chr01	29504	A
998	Chr01	5545	A
999	Chr01	16206	A
1000	Chr01	73468	A
1001	Chr01	91594	A
1002	Chr01	5159	A
1003	Chr01	49172	A
1004	Chr01	39709	A
1005	Chr01	51218	A
1006	Chr01	12	A
1007	Chr01	16524	A
1008	Chr01	31864	A
1009	Chr01	112207	A
1010	Chr01	479696	A
1011	Chr01	73749	A
1012	Chr01	12396	A
1013	Chr01	291383	A
1014	Chr01	28433	A
1015	Chr01	321751	A
1016	Chr01	1224306	A
1017	Chr01	321308	A
1018	Chr01	156937	A
1019	Chr01	173018	A
1020	Chr01	478	A
1021	Chr01	397491	A
1022	Chr01	4186	A
1023	Chr01	6021	A
1024	Chr01	5910	A
1025	Chr01	57199	A
1026	Chr01	33481	A
1027	Chr01	94171	A
1028	Chr01	3260	A
1029	Chr01	1182	A
1030	Chr01	208960	A
1031	Chr01	53186	A
1032	Chr01	93363	A
1033	Chr01	5793	A
1034	Chr01	64322	A
1035	Chr01	172944	A
1036	Chr01	70209	A
1037	Chr01	5780	A
1038	Chr01	16866	A
1039	Chr01	16713	A
1040	Chr01	286	A
1041	Chr01	12193	A
1042	Chr01	78889	A
1043	Chr01	367	A
1044	Chr01	17	A
1045	Chr01	197116	A
1046	Chr01	231059	A
1047	Chr01	66583	A
1048	Chr01	101426	A
1049	Chr01	27280	A
1050	Chr01	6076	A
1051	Chr01	3125	A
1052	Chr01	108471	A
1053	Chr01	27169	A
1054	Chr01	101533	A
1055	Chr01	179865	A
1056	Chr01	229998	A
1057	Chr01	16152	A
1058	Chr01	50477	A
1059	Chr01	15636	A
1060	Chr01	1194	A
1061	Chr01	71102	A
1062	Chr01	2590	A
1063	Chr01	3721	A
1064	Chr01	141	A
1065	Chr01	2506	A
1066	Chr01	1542	A
1067	Chr01	12836	A
1068	Chr01	98760	A
1069	Chr01	393	A
1070	Chr01	112988	A
1071	Chr01	25799	A
1072	Chr01	11431	A
1073	Chr01	229632	A
1074	Chr01	11793	A
1075	Chr01	46873	A
1076	Chr01	2801	A
1077	Chr01	2666	A
1078	Chr01	648	A
1079	Chr01	23256	A
1080	Chr01	23031	A
1081	Chr01	47809	A
1082	Chr01	173806	A
1083	Chr01	117779	A
1084	Chr01	10145	A
1085	Chr01	2038	A
1086	Chr01	9917	A
1087	Chr01	85554	A
1088	Chr01	116	A
1089	Chr01	27569	A
1090	Chr01	76223	A
1091	Chr01	246603	A
1092	Chr01	46708	A
1093	Chr01	7036	A
1094	Chr01	33895	A
1095	Chr01	192397	A
1096	Chr01	581	A
1097	Chr01	60960	A
1098	Chr01	42216	A
1099	Chr01	28904	A
1100	Chr01	80033	A
1101	Chr01	28551	A
1102	Chr01	65038	A
1103	Chr01	83889	A
1104	Chr01	13919	A
1105	Chr01	198939	A
1106	Chr01	51099	A
1107	Chr01	36457	A
1108	Chr01	3150	A
1109	Chr01	1225	A
1110	Chr01	39949	A
1111	Chr01	1545	A
1112	Chr01	17282	A
1113	Chr01	768	A
1114	Chr01	26075	A
1115	Chr01	20640	A
1116	Chr01	76049	A
1117	Chr01	35043	A
1118	Chr01	3085	A
1119	Chr01	269	A
1120	Chr01	56699	A
1121	Chr01	75067	A
1122	Chr01	21938	A
1123	Chr01	22835	A
1124	Chr01	1082	A
1125	Chr01	3615	A
1126	Chr01	1666	A
1127	Chr01	3736	A
1128	Chr01	37299	A
1129	Chr01	2733	A
1130	Chr01	16802	A
1131	Chr01	123705	A
1132	Chr01	415828	A
1133	Chr01	47829	A
1134	Chr01	57047	A
1135	Chr01	8021	A
1136	Chr01	20508	A
1137	Chr01	73	A
1138	Chr01	19080	A
1139	Chr01	54159	A
1140	Chr01	75038	A
1141	Chr01	343	A
1142	Chr01	14981	A
1143	Chr01	73062	A
1144	Chr01	24325	A
1145	Chr01	53618	A
1146	Chr01	41294	A
1147	Chr01	21358	A
1148	Chr01	19822	A
1149	Chr01	71195	A
1150	Chr01	18607	A
1151	Chr01	98119	A
1152	Chr01	37192	A
1153	Chr01	539	A
1154	Chr01	8729	A
1155	Chr01	39370	A
1156	Chr01	140147	A
1157	Chr01	168920	A
1158	Chr01	138423	A
1159	Chr01	69311	A
1160	Chr01	11864	A
1161	Chr01	43539	A
1162	Chr01	1051	A
